"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid"
"Max Fried","ATL","14","7","0","30","30","185.1","8.26","1.55","0.58",".280","78.2%","51.2%","7.8%","94.0","2.48","2.85","2.70","3.09","5.0","13743"
"Spencer Strider","ATL","11","5","0","31","20","131.2","13.81","3.08","0.48",".292","74.1%","40.3%","6.8%","98.1","2.67","2.39","1.83","2.30","4.9","27498"
"Kyle Wright","ATL","21","5","0","30","30","180.1","8.68","2.65","0.95",".284","78.9%","55.6%","14.4%","95.1","3.19","3.89","3.58","3.30","2.9","19665"
"A.J. Minter","ATL","5","4","5","75","0","70.0","12.09","1.93","0.64",".286","76.7%","38.5%","7.1%","96.6","2.06","2.39","2.13","2.68","2.1","18655"
"Raisel Iglesias","ATL","2","6","17","67","0","62.0","11.32","2.03","0.73",".281","76.8%","34.2%","7.6%","95.2","2.47","","2.47","2.99","1.6","17130"
"Charlie Morton","ATL","9","6","0","31","31","172.0","10.73","3.30","1.47",".292","76.0%","39.8%","16.5%","94.9","4.34","4.11","4.26","3.60","1.5","4676"
"Joe Jimenez","ATL","3","2","2","62","0","56.2","12.23","2.06","0.64",".328","67.4%","33.1%","6.5%","95.9","3.49","2.90","2.00","2.70","1.4","15761"
"Collin McHugh","ATL","3","2","0","58","0","69.1","9.74","1.82","0.65",".266","79.4%","39.9%","7.2%","91.3","2.60","3.05","2.71","3.24","1.4","7531"
"Dylan Lee","ATL","5","1","0","46","0","50.2","10.48","1.78","0.89",".276","79.1%","35.4%","8.5%","92.0","2.13","2.57","2.66","3.10","1.1","19996"
"Ian Anderson","ATL","10","6","0","22","22","111.2","7.82","4.35","0.97",".313","69.8%","47.9%","11.7%","93.9","5.00","4.37","4.25","4.22","0.9","19951"
"Lucas Luetge","ATL","4","4","2","50","0","57.1","9.42","2.67","0.63",".355","82.9%","35.3%","5.6%","","2.67","3.57","3.03","3.95","0.9","8337"
"Bryce Elder","ATL","2","4","0","10","9","54.0","7.83","3.83","0.67",".267","79.2%","49.3%","8.2%","91.5","3.17","4.25","3.78","4.16","0.8","27779"
"Jackson Stephens","ATL","3","3","2","39","1","53.2","7.88","3.86","0.50",".289","60.7%","46.3%","6.7%","94.1","3.69","3.86","3.54","4.06","0.4","14420"
"Orlando Arcia","ATL","0","0","0","1","0","1.0","0.00","9.00","0.00",".000","100.0%","0.0%","0.0%","83.8","0.00","2.98","6.11","10.55","0.0","13185"
"Tyler Matzek","ATL","4","2","1","42","0","43.2","7.42","5.98","0.62",".202","68.2%","33.0%","5.1%","94.1","3.50","4.25","4.49","5.59","-0.1","10058"
"Huascar Ynoa","ATL","0","2","0","2","2","6.2","10.80","8.10","2.70",".429","49.3%","52.2%","33.3%","96.7","13.50","10.18","7.31","4.74","-0.2","20468"
"Kirby Yates","ATL","0","0","0","9","0","7.0","7.71","6.43","2.57",".200","85.4%","36.4%","14.3%","93.4","5.14","4.78","7.26","6.50","-0.2","9073"
"Kolby Allard","ATL","1","2","1","10","0","21.0","8.14","2.57","3.86",".231","71.4%","27.9%","32.1%","91.2","7.29","5.67","7.87","4.28","-0.7","18694"
