"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid"
"Kyle Gibson","BAL","10","8","0","31","31","167.2","7.73","2.58","1.29",".308","67.7%","45.9%","13.9%","92.3","5.05","4.46","4.28","3.94","1.8","10123"
"Dean Kremer","BAL","8","7","0","22","21","125.1","6.25","2.44","0.79",".299","77.8%","39.4%","7.3%","93.6","3.23","4.46","3.80","4.43","1.8","19350"
"Cole Irvin","BAL","9","13","0","30","30","181.0","6.36","1.79","1.24",".273","71.4%","37.7%","10.5%","90.9","3.98","4.40","4.21","4.35","1.4","19244"
"Felix Bautista","BAL","4","4","15","65","0","65.2","12.06","3.15","0.96",".231","84.3%","42.9%","12.7%","99.3","2.19","2.66","2.91","2.77","1.4","20666"
"Bryan Baker","BAL","4","3","1","66","2","69.2","9.82","3.36","0.39",".311","70.8%","42.4%","4.6%","96.4","3.49","3.22","2.74","3.56","1.4","19804"
"Austin Voth","BAL","5","4","0","41","17","101.2","7.97","2.74","1.24",".319","74.2%","34.5%","10.3%","93.6","4.34","","4.14","4.33","1.0","15047"
"Cionel Perez","BAL","7","1","1","66","0","57.2","8.58","3.28","0.31",".284","87.4%","51.3%","4.3%","97.2","1.40","3.62","2.80","3.56","1.0","19614"
"Tyler Wells","BAL","7","7","0","23","23","103.2","6.60","2.43","1.39",".246","72.7%","36.6%","11.0%","93.7","4.25","3.78","4.52","4.60","0.9","20000"
"Spenser Watkins","BAL","5","6","0","23","20","105.1","5.38","2.56","0.94",".308","68.3%","41.5%","8.6%","91.6","4.70","5.07","4.24","4.68","0.9","17489"
"Kyle Bradish","BAL","4","7","0","23","23","117.2","8.49","3.52","1.30",".311","70.2%","45.6%","14.9%","","4.90","4.49","4.46","4.01","0.7","24586"
"Dillon Tate","BAL","4","4","5","67","0","73.2","7.33","1.95","0.73",".251","71.2%","57.4%","12.2%","","3.05","3.15","3.48","3.40","0.5","17796"
"Keegan Akin","BAL","3","3","2","45","1","81.2","8.49","2.20","1.10",".267","72.4%","49.3%","13.5%","93.7","3.20","3.62","3.59","3.34","0.5","19362"
"DL Hall","BAL","1","1","1","11","1","13.2","12.51","3.95","0.00",".436","60.9%","46.2%","0.0%","96.4","5.93","2.57","1.65","2.84","0.4","22207"
"Mike Baumann","BAL","1","3","0","13","4","34.1","6.03","2.36","0.79",".357","70.3%","50.9%","8.3%","96.1","4.72","4.43","3.87","4.29","0.3","20206"
"John Means","BAL","0","0","0","2","2","8.0","7.88","2.25","0.00",".320","70.0%","40.0%","0.0%","92.3","3.38","4.37","2.11","3.78","0.3","16269"
"Mychal Givens","BAL","7","3","2","59","1","61.1","10.42","3.67","1.17",".318","78.9%","42.8%","13.8%","93.6","3.38","","3.96","3.66","0.2","10430"
"Logan Gillaspie","BAL","1","0","0","17","0","17.1","5.19","1.56","0.52",".328","72.0%","37.3%","5.3%","95.3","3.12","5.53","3.57","4.45","0.1","22461"
"Ryan McKenna","BAL","0","0","0","2","0","1.1","0.00","6.75","0.00",".556","66.7%","22.2%","0.0%","72.6","13.50","6.13","5.36","9.80","0.0","19928"
"Nick Vespi","BAL","5","0","1","25","0","26.1","9.57","2.73","1.71",".343","83.9%","42.7%","21.7%","88.5","4.10","5.49","4.48","3.30","-0.1","21093"
"Yennier Cano","BAL","1","1","0","13","0","18.0","10.50","8.00","1.50",".411","51.5%","49.2%","18.8%","95.7","11.50","","5.78","4.93","-0.3","25911"
"Joey Krehbiel","BAL","5","5","1","56","0","57.2","7.02","2.81","1.40",".260","74.9%","42.1%","13.6%","94.6","3.90","4.08","4.67","4.34","-0.3","13707"
"Bruce Zimmermann","BAL","2","5","0","15","13","73.2","5.99","1.47","2.57",".322","72.3%","39.8%","20.4%","90.8","5.99","6.53","6.06","4.42","-0.8","20370"
