"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid"
"Corey Kluber","BOS","10","10","0","31","31","164.0","7.63","1.15","1.10",".317","70.2%","36.1%","9.3%","89.1","4.34","4.00","3.57","3.92","3.0","2429"
"John Schreiber","BOS","4","4","8","64","0","65.0","10.25","2.63","0.42",".268","76.8%","56.3%","6.1%","94.6","2.22","2.57","2.50","3.01","1.7","20020"
"Chris Martin","BOS","4","1","2","60","0","56.0","11.89","0.80","0.96",".317","75.6%","49.0%","13.0%","95.4","3.05","","2.18","2.01","1.6","11847"
"Nick Pivetta","BOS","10","12","0","33","33","179.2","8.77","3.66","1.35",".300","75.3%","38.5%","12.4%","93.6","4.56","4.65","4.42","4.26","1.5","15454"
"Garrett Whitlock","BOS","4","2","6","31","9","78.1","9.42","1.72","1.15",".271","73.1%","40.8%","12.0%","96.1","3.45","3.17","3.29","3.20","1.4","20191"
"Brayan Bello","BOS","2","8","0","13","11","57.1","8.63","4.24","0.16",".404","68.2%","55.7%","2.4%","97.0","4.71","3.80","2.94","3.80","1.3","23920"
"Kenley Jansen","BOS","5","2","41","65","0","64.0","11.95","3.09","1.13",".259","76.1%","29.9%","9.9%","","3.38","2.34","3.21","3.45","1.1","3096"
"Tanner Houck","BOS","5","4","8","32","4","60.0","8.40","3.30","0.45",".288","75.5%","50.9%","7.1%","95.5","3.15","3.86","3.30","3.68","0.7","19879"
"Ryan Brasier","BOS","0","3","1","68","0","62.1","9.24","1.88","1.30",".335","56.2%","40.5%","12.2%","96.0","5.78","3.97","3.61","3.49","0.5","5615"
"Kutter Crawford","BOS","3","6","0","21","12","77.1","8.96","3.38","1.40",".322","66.2%","31.3%","11.4%","94.7","5.47","4.62","4.34","4.33","0.5","20531"
"Richard Bleier","BOS","2","2","1","55","1","50.2","5.68","1.78","0.53",".341","74.5%","52.5%","7.0%","90.9","3.55","3.78","3.27","3.76","0.5","7803"
"Joely Rodriguez","BOS","2","4","0","55","0","50.1","10.19","4.65","0.54",".302","63.3%","53.8%","8.8%","92.8","4.47","3.62","3.23","3.46","0.4","11487"
"Wyatt Mills","BOS","0","1","0","27","0","29.1","7.98","3.99","0.31",".301","68.1%","42.2%","3.4%","92.4","4.60","","3.62","4.64","0.2","20010"
"Chris Sale","BOS","0","1","0","2","2","5.2","7.94","1.59","0.00",".278","57.1%","50.0%","0.0%","94.9","3.18","4.08","2.41","3.19","0.2","10603"
"Reese McGuire","BOS","0","0","0","1","0","1.0","0.00","0.00","0.00",".000","100.0%","33.3%","0.0%","62.0","0.00","2.37","3.11","6.07","0.0","15674"
"Zack Kelly","BOS","1","0","0","13","0","13.2","7.24","2.63","1.32",".286","78.9%","45.5%","11.1%","94.7","3.95","2.76","4.28","4.33","0.0","20349"
"Josh Winckowski","BOS","5","7","0","15","14","70.1","5.63","3.45","1.28",".322","67.0%","51.9%","13.9%","93.8","5.89","4.84","4.95","4.61","0.0","22387"
"Yu Chang","BOS","0","0","0","2","0","2.0","0.00","0.00","4.50",".500","65.2%","36.4%","25.0%","78.0","13.50","13.92","9.61","6.07","-0.1","14773"
"Kaleb Ort","BOS","1","2","1","25","0","28.1","8.58","4.76","1.27",".360","62.5%","30.7%","9.8%","96.3","6.35","5.35","4.84","5.15","-0.1","20061"
