"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid"
"Justin Steele","CHC","4","7","0","24","24","119.0","9.53","3.78","0.61",".317","72.6%","51.2%","8.7%","92.4","3.18","3.59","3.20","3.48","2.6","17312"
"Jameson Taillon","CHC","14","5","0","32","32","177.1","7.66","1.62","1.32",".276","75.3%","40.1%","12.4%","94.1","3.91","4.20","3.94","3.79","2.3","11674"
"Marcus Stroman","CHC","6","7","0","25","25","138.2","7.72","2.34","1.04",".272","72.5%","51.7%","13.9%","92.9","3.50","3.94","3.76","3.49","2.0","13431"
"Adrian Sampson","CHC","4","5","0","21","19","104.1","6.30","2.33","0.86",".288","77.6%","40.0%","7.7%","92.6","3.11","4.40","3.79","4.39","1.5","13339"
"Drew Smyly","CHC","7","8","0","22","22","106.1","7.70","2.20","1.35",".275","78.5%","40.1%","11.7%","","3.47","4.17","4.23","4.18","1.3","11760"
"Keegan Thompson","CHC","10","5","1","29","17","115.0","8.45","3.37","1.25",".282","76.2%","40.9%","12.3%","93.8","3.76","4.46","4.40","4.26","0.8","19795"
"Brad Boxberger","CHC","4","3","1","70","0","64.0","9.56","3.80","0.84",".279","79.9%","34.3%","8.1%","92.8","2.95","3.44","3.57","4.06","0.7","10133"
"Hayden Wesneski","CHC","3","2","0","6","4","33.0","9.00","1.91","0.82",".244","83.9%","47.1%","8.3%","93.4","2.18","2.18","3.20","3.64","0.7","27581"
"Michael Fulmer","CHC","5","6","3","67","0","63.2","8.62","3.96","0.57",".309","75.2%","35.4%","5.5%","94.3","3.39","","3.57","4.45","0.7","13218"
"Adbert Alzolay","CHC","2","1","0","6","0","13.1","12.83","1.35","0.68",".276","66.0%","40.0%","8.3%","95.0","3.38","2.22","1.91","2.27","0.5","17859"
"Javier Assad","CHC","2","2","0","9","8","37.2","7.17","4.78","0.96",".277","83.0%","38.8%","8.7%","93.0","3.11","4.49","4.49","4.92","0.4","21741"
"Kyle Hendricks","CHC","4","6","0","16","16","84.1","7.04","2.56","1.60",".282","73.6%","36.2%","13.5%","87.1","4.80","5.07","4.82","4.46","0.4","12049"
"Julian Merryweather","CHC","0","3","0","26","1","26.2","7.76","2.36","1.35",".325","58.1%","48.2%","11.8%","97.4","6.75","4.49","4.35","4.29","0.1","16703"
"Rowan Wick","CHC","4","7","9","64","0","64.0","9.70","4.08","1.27",".376","74.7%","44.3%","15.5%","95.0","4.22","5.35","4.19","3.70","0.0","14646"
"Michael Rucker","CHC","3","1","0","41","0","54.2","8.23","3.29","1.32",".278","76.5%","43.4%","12.7%","94.9","3.95","3.64","4.28","4.09","0.0","19454"
"Tucker Barnhart","CHC","0","0","0","1","0","1.0","0.00","0.00","0.00",".600","66.7%","20.0%","0.0%","72.3","9.00","0.00","3.11","6.07","0.0","10200"
"Caleb Kilian","CHC","0","2","0","3","3","11.1","7.15","9.53","0.00",".324","37.5%","50.0%","0.0%","94.8","10.32","4.37","4.97","6.79","0.0","26213"
"Jeremiah Estrada","CHC","0","0","0","5","0","5.2","12.71","4.76","1.59",".385","92.1%","28.6%","16.7%","96.8","3.18","4.25","4.17","3.44","0.0","22210"
"Brandon Hughes","CHC","2","3","8","57","0","57.2","10.61","3.28","1.72",".233","87.7%","33.8%","17.5%","93.3","3.12","3.86","4.64","3.78","-0.3","23460"
