"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid"
"Dylan Cease","CHW","14","8","0","32","32","184.0","11.10","3.82","0.78",".260","82.3%","38.8%","8.4%","96.9","2.20","2.70","3.10","3.50","4.4","18525"
"Reynaldo Lopez","CHW","6","4","0","61","1","65.1","8.68","1.52","0.14",".281","63.3%","38.7%","1.5%","97.1","2.76","2.92","1.93","3.28","2.0","16400"
"Lance Lynn","CHW","8","7","0","21","21","121.2","9.17","1.41","1.41",".294","68.4%","42.3%","14.0%","93.0","3.99","3.62","3.82","3.44","1.9","2520"
"Lucas Giolito","CHW","11","9","0","30","30","161.2","9.85","3.40","1.34",".340","71.1%","38.5%","14.4%","92.7","4.90","4.23","4.06","3.66","1.8","15474"
"Liam Hendriks","CHW","4","4","37","58","0","57.2","13.27","2.50","1.09",".296","76.6%","34.9%","11.7%","97.8","2.81","2.59","2.68","2.64","1.6","3548"
"Michael Kopech","CHW","5","9","0","25","25","119.1","7.92","4.30","1.13",".223","74.2%","35.7%","9.4%","95.1","3.54","3.94","4.50","4.83","1.0","17282"
"Kendall Graveman","CHW","3","4","6","65","0","65.0","9.14","3.60","0.69",".324","74.7%","54.0%","11.1%","96.7","3.18","3.51","3.42","3.44","0.7","15514"
"Davis Martin","CHW","3","6","0","14","9","63.1","6.82","2.70","1.14",".288","66.4%","36.7%","10.5%","94.1","4.83","4.71","4.28","4.42","0.6","21448"
"Joe Kelly","CHW","1","3","1","43","1","37.0","12.89","5.59","0.49",".382","60.8%","64.4%","10.0%","96.6","6.08","3.15","3.06","3.16","0.5","9761"
"Mike Clevinger","CHW","7","7","0","23","22","114.1","7.16","2.76","1.57",".249","76.5%","35.2%","12.6%","93.5","4.33","4.65","4.98","4.76","0.4","12808"
"Jimmy Lambert","CHW","1","2","0","42","2","47.0","8.62","4.60","0.77",".277","79.1%","36.1%","6.9%","94.4","3.26","3.05","3.90","4.62","0.3","19541"
"Aaron Bummer","CHW","2","1","2","32","0","26.2","10.13","3.38","0.68",".384","79.1%","63.5%","18.2%","","2.36","3.97","3.19","2.82","0.3","16258"
"Tanner Banks","CHW","2","0","0","35","0","53.0","8.32","3.06","0.85",".257","66.7%","46.6%","11.1%","93.1","3.06","4.08","3.57","3.60","0.3","16990"
"Matt Foster","CHW","1","2","1","48","0","45.0","8.40","3.40","1.20",".289","67.8%","31.1%","9.8%","93.9","4.40","4.20","4.11","4.39","0.2","19647"
"Gregory Santos","CHW","0","0","0","2","0","3.2","4.91","7.36","0.00",".250","66.7%","75.0%","0.0%","98.7","4.91","3.22","4.48","5.28","0.0","21894"
"Jose Ruiz","CHW","1","0","0","63","0","60.2","10.09","4.90","1.34",".284","73.6%","42.1%","13.4%","97.0","4.60","4.31","4.43","4.14","-0.1","14552"
"Frank German","CHW","0","0","0","5","0","4.0","9.00","9.00","4.50",".385","36.6%","53.3%","50.0%","97.9","18.00","7.00","10.61","5.59","-0.2","24750"
"A.J. Alexy","CHW","1","1","0","4","0","7.0","7.71","11.57","1.29",".409","56.8%","47.8%","33.3%","94.4","11.57","8.28","7.11","5.89","-0.2","22343"
"Jake Diekman","CHW","5","4","1","70","0","57.2","12.33","6.55","1.40",".328","69.4%","39.9%","17.0%","95.8","4.99","","5.00","4.33","-0.6","5003"
