"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid"
"Nick Lodolo","CIN","4","7","0","19","19","103.1","11.41","3.40","1.13",".322","80.1%","46.0%","15.1%","94.5","3.66","3.97","3.90","3.49","1.8","26378"
"Hunter Greene","CIN","5","13","0","24","24","125.2","11.75","3.44","1.72",".281","76.3%","29.3%","16.1%","99.0","4.44","4.00","4.37","3.64","1.6","22182"
"Graham Ashcraft","CIN","5","6","0","19","19","105.0","6.09","2.57","0.94",".314","67.8%","54.5%","12.5%","97.3","4.89","4.02","4.21","4.09","1.3","27552"
"Alexis Diaz","CIN","7","3","10","59","0","63.2","11.73","4.66","0.71",".178","81.4%","30.3%","6.9%","95.8","1.84","2.76","3.32","3.97","1.0","21132"
"Buck Farmer","CIN","2","2","2","44","0","47.0","10.34","4.79","0.38",".291","69.3%","42.7%","4.5%","94.8","3.83","3.51","3.03","3.86","1.0","14814"
"Connor Overton","CIN","1","0","0","6","4","33.0","3.82","3.00","0.27",".204","71.9%","41.4%","2.6%","91.4","2.73","3.41","3.66","4.97","0.7","18376"
"Ian Gibaut","CIN","1","2","1","34","0","36.0","12.00","4.50","0.75",".400","74.3%","37.6%","8.3%","95.9","4.50","","3.11","3.51","0.6","17871"
"Luke Weaver","CIN","1","1","0","26","1","35.2","9.59","3.28","0.25",".429","58.6%","40.0%","2.8%","94.8","6.56","","2.69","3.82","0.5","16918"
"Joel Kuhnel","CIN","2","3","1","53","0","58.0","8.69","2.17","1.24",".343","60.2%","52.2%","15.1%","96.3","6.36","3.78","3.96","3.52","0.3","19995"
"Fernando Cruz","CIN","0","1","0","14","2","14.2","12.89","5.52","0.61",".250","90.9%","35.5%","7.7%","94.5","1.23","3.34","3.18","3.61","0.3","7048"
"Tony Santillan","CIN","0","1","4","21","0","19.2","9.61","5.49","0.46",".379","66.5%","29.8%","4.3%","96.3","5.49","4.56","4.08","5.15","0.2","19926"
"Luis Cessa","CIN","4","4","0","46","10","80.2","6.58","3.12","1.56",".266","71.8%","48.8%","16.9%","93.5","4.57","4.43","5.02","4.29","0.0","13345"
"Lucas Sims","CIN","1","0","1","6","0","6.2","6.75","8.10","0.00",".263","41.7%","52.6%","0.0%","93.8","9.45","4.94","4.76","5.87","0.0","13470"
"Reiver Sanmartin","CIN","4","4","0","45","4","57.0","7.42","4.58","1.26",".337","62.1%","54.5%","14.8%","91.0","6.32","3.89","4.81","4.39","-0.1","19754"
"Wil Myers","CIN","0","0","0","4","0","3.2","0.00","0.00","7.36",".083","100.0%","20.0%","27.3%","59.6","7.36","6.41","14.57","8.37","-0.2","10047"
"Bennett Sousa","CIN","3","0","1","25","0","20.1","5.31","4.43","1.33",".314","50.3%","49.3%","12.0%","94.3","8.41","4.23","5.47","5.38","-0.3","21345"
"Justin Dunn","CIN","1","3","0","7","7","31.0","6.10","4.94","3.19",".244","84.7%","29.5%","22.9%","92.3","6.10","8.75","8.31","5.99","-0.7","19268"
