"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid"
"Shane Bieber","CLE","13","8","0","31","31","200.0","8.91","1.62","0.81",".287","75.8%","48.2%","10.4%","91.5","2.88","3.51","2.87","2.98","4.9","19427"
"Triston McKenzie","CLE","11","11","0","31","30","191.1","8.94","2.07","1.18",".237","80.3%","32.7%","10.3%","92.7","2.96","3.54","3.59","3.77","3.6","18000"
"Emmanuel Clase","CLE","3","4","42","77","0","72.2","9.54","1.24","0.37",".222","72.3%","63.9%","8.3%","","1.36","1.97","1.98","2.18","2.4","21032"
"Cal Quantrill","CLE","15","5","0","32","32","186.1","6.18","2.27","1.01",".278","76.4%","42.1%","9.6%","93.9","3.38","4.31","4.12","4.39","2.2","19312"
"Trevor Stephan","CLE","6","5","3","66","0","63.2","11.59","2.54","0.42",".338","73.5%","48.1%","5.7%","96.8","2.69","2.34","2.19","2.81","1.7","19932"
"Aaron Civale","CLE","5","6","0","20","20","97.0","9.09","2.04","1.30",".297","62.5%","41.2%","13.1%","90.9","4.92","3.80","3.87","3.62","1.3","19479"
"Sam Hentges","CLE","3","2","1","57","0","62.0","10.45","2.76","0.44",".257","78.2%","61.5%","8.8%","96.1","2.32","2.79","2.48","2.67","1.1","18548"
"Enyel De Los Santos","CLE","5","0","1","50","0","53.1","10.29","2.87","0.51",".280","74.8%","39.8%","6.5%","95.5","3.04","3.91","2.62","3.17","1.0","18403"
"James Karinchak","CLE","2","0","3","38","0","39.0","14.31","4.85","0.46",".270","85.0%","25.0%","5.1%","95.3","2.08","2.92","2.29","3.11","1.0","20151"
"Zach Plesac","CLE","3","12","0","25","24","131.2","6.84","2.60","1.30",".288","68.9%","40.0%","11.7%","92.2","4.31","5.28","4.45","4.39","0.9","19979"
"Eli Morgan","CLE","5","3","0","50","1","66.2","9.72","1.76","1.35",".226","68.1%","30.4%","11.6%","92.2","3.38","2.90","3.58","3.54","0.6","20203"
"Nick Sandlin","CLE","5","2","0","46","0","44.0","8.39","4.91","0.41",".227","80.1%","55.9%","5.9%","93.8","2.25","3.36","3.68","4.23","0.3","20517"
"Konnor Pilkington","CLE","1","2","0","15","11","58.0","7.76","4.97","0.93",".280","72.5%","39.9%","9.0%","92.2","3.88","4.81","4.49","4.86","0.3","21453"
"Cody Morris","CLE","1","2","0","7","5","23.2","8.75","4.56","1.14",".290","86.8%","35.4%","12.5%","94.7","2.28","4.94","4.34","4.19","0.1","25388"
"Xzavion Curry","CLE","0","1","0","2","2","9.1","2.89","5.79","0.96",".333","69.9%","29.7%","7.1%","92.2","5.79","6.66","6.11","6.94","-0.1","25595"
"Hunter Gaddis","CLE","0","2","0","2","2","7.1","6.14","3.68","8.59",".320","36.6%","18.8%","31.8%","93.5","18.41","12.20","15.39","7.42","-0.6","25636"
