"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid"
"Kyle Freeland","COL","9","11","0","31","31","174.2","6.75","2.73","0.98",".318","70.5%","42.0%","9.5%","90.4","4.53","5.11","4.21","4.48","2.6","16256"
"Daniel Bard","COL","6","4","34","57","0","60.1","10.29","3.73","0.45",".221","81.6%","51.7%","6.8%","97.9","1.79","2.49","2.86","3.30","1.8","7115"
"Antonio Senzatela","COL","3","7","0","19","19","92.1","5.26","2.24","0.88",".383","70.4%","49.4%","11.3%","94.3","5.07","5.24","4.05","4.07","1.4","15488"
"German Marquez","COL","9","13","0","31","31","181.2","7.43","3.12","1.49",".291","68.1%","47.6%","16.9%","95.7","4.95","4.49","4.71","4.02","1.4","15038"
"Austin Gomber","COL","5","7","0","33","17","124.2","6.86","2.45","1.44",".310","64.1%","42.6%","13.7%","91.1","5.56","4.59","4.54","4.19","0.9","16561"
"Jose Urena","COL","3","8","0","21","17","97.0","5.85","3.99","1.02",".312","66.1%","49.7%","11.7%","96.0","5.01","","4.65","4.61","0.8","11589"
"Ryan Feltner","COL","4","9","0","20","19","97.1","7.77","3.24","1.48",".299","64.4%","41.3%","13.4%","94.5","5.83","4.91","4.76","4.43","0.6","21446"
"Lucas Gilbreath","COL","2","0","0","47","0","43.0","10.26","5.44","0.42",".330","70.1%","46.7%","6.1%","93.8","4.19","4.17","3.53","4.06","0.6","21290"
"Justin Lawrence","COL","3","1","1","38","0","42.2","10.13","4.64","0.63",".350","63.7%","50.8%","9.4%","","5.70","3.54","3.39","3.59","0.6","17639"
"Pierce Johnson","COL","1","2","0","15","0","14.1","13.19","5.02","0.63",".382","68.0%","54.3%","11.1%","94.7","5.02","2.64","2.76","2.79","0.3","13435"
"Brad Hand","COL","3","2","5","55","0","45.0","7.60","4.60","0.40",".271","75.9%","40.3%","4.3%","92.8","2.80","4.40","3.93","4.90","0.3","9111"
"Dinelson Lamet","COL","1","2","0","32","0","32.1","12.53","5.29","1.11",".338","63.3%","34.2%","12.5%","95.4","6.12","","4.07","3.93","0.2","17186"
"Nick Mears","COL","0","0","0","2","0","2.0","9.00","4.50","0.00",".200","100.0%","40.0%","0.0%","96.9","0.00","2.24","2.61","4.09","0.0","25376"
"Gavin Hollowell","COL","0","2","0","6","0","7.0","10.29","5.14","1.29",".316","41.7%","25.0%","8.3%","93.0","7.71","2.81","4.40","5.08","0.0","25427"
"Randal Grichuk","COL","0","0","0","1","0","1.0","0.00","0.00","0.00",".000","100.0%","66.7%","0.0%","66.3","0.00","2.11","3.11","4.59","0.0","10243"
"Brian Serven","COL","0","0","0","1","0","1.0","0.00","9.00","0.00",".000","100.0%","50.0%","0.0%","73.4","0.00","5.78","6.11","7.59","0.0","19422"
"Noah Davis","COL","0","0","0","1","0","1.0","18.00","9.00","9.00",".667","76.9%","50.0%","50.0%","95.6","18.00","4.49","15.11","5.07","-0.1","25862"
"Brent Suter","COL","5","3","0","54","0","66.2","7.16","2.97","1.22",".265","72.4%","45.0%","13.0%","86.5","3.78","3.72","4.40","4.18","-0.2","13942"
"Connor Seabold","COL","0","4","0","5","5","18.1","9.33","3.93","2.45",".476","56.4%","29.4%","15.2%","92.2","11.29","5.60","6.39","5.50","-0.2","19695"
"Jake Bird","COL","2","4","0","38","0","47.2","7.93","4.34","1.32",".281","69.1%","55.7%","20.6%","","4.91","4.78","4.96","4.11","-0.3","21267"
