"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid"
"Tarik Skubal","DET","7","8","0","21","21","117.2","8.95","2.45","0.69",".299","67.5%","45.7%","7.9%","94.2","3.52","3.34","2.96","3.40","2.9","22267"
"Matt Manning","DET","2","3","0","12","12","63.0","6.86","2.71","0.86",".259","72.1%","41.0%","7.7%","93.5","3.43","4.00","3.78","4.37","1.0","20369"
"Michael Lorenzen","DET","8","6","0","18","18","97.2","7.83","4.05","1.01",".262","71.3%","50.2%","12.4%","95.0","4.24","3.91","4.31","4.20","1.0","14843"
"Jason Foley","DET","1","0","0","60","0","60.1","6.41","1.64","0.30",".354","70.6%","57.1%","4.0%","96.4","3.88","3.62","2.76","3.56","0.8","19531"
"Alex Lange","DET","7","4","0","71","0","63.1","11.65","4.41","0.71",".284","69.7%","55.6%","11.6%","96.1","3.41","3.29","3.25","3.23","0.7","19883"
"Eduardo Rodriguez","DET","5","5","0","17","17","91.0","7.12","3.36","1.19",".277","69.7%","43.4%","11.5%","92.0","4.05","4.20","4.43","4.41","0.6","13164"
"Joey Wentz","DET","2","2","0","7","7","32.2","7.44","3.58","0.55",".228","70.2%","36.6%","5.0%","92.6","3.03","3.62","3.54","4.56","0.5","19962"
"Will Vest","DET","3","3","1","59","2","63.0","9.00","3.14","0.86",".315","72.5%","49.7%","12.0%","95.3","4.00","4.02","3.54","3.48","0.4","19769"
"Alex Faedo","DET","1","5","0","12","12","53.2","7.38","4.19","1.17",".335","69.4%","31.2%","9.2%","92.8","5.53","5.53","4.62","5.02","0.3","19874"
"Rony Garcia","DET","3","3","0","16","8","51.0","8.47","2.29","1.59",".235","67.6%","31.2%","13.6%","93.0","4.41","6.33","4.52","4.15","0.2","20430"
"Beau Brieske","DET","3","6","0","15","15","81.2","5.95","2.76","1.54",".241","75.6%","37.5%","12.5%","94.4","4.19","5.60","4.97","4.78","0.1","26079"
"Matthew Boyd","DET","2","0","0","10","0","13.1","8.78","5.40","0.00",".161","85.7%","41.4%","0.0%","92.7","1.35","2.70","3.19","4.41","0.1","15440"
"Jose Cisnero","DET","1","0","0","28","0","25.0","8.28","6.84","0.00",".242","88.6%","37.1%","0.0%","95.7","1.08","3.91","3.67","5.09","0.1","6399"
"Tyler Holton","DET","0","0","0","10","0","9.0","6.00","2.00","1.00",".241","83.3%","30.0%","6.3%","90.5","3.00","3.54","4.22","5.41","0.0","26231"
"Nick Maton","DET","0","0","0","2","0","1.1","0.00","0.00","0.00",".500","25.0%","50.0%","0.0%","76.3","20.25","8.91","3.11","6.44","0.0","21635"
"Edwin Uceta","DET","0","0","0","10","0","17.0","6.88","3.71","1.06",".240","52.1%","42.3%","9.1%","93.4","5.82","3.57","4.52","4.91","0.0","20539"
"Tyler Alexander","DET","4","11","0","27","17","101.0","5.44","2.23","1.60",".280","69.9%","35.2%","12.6%","90.2","4.81","5.42","4.99","4.77","-0.1","17735"
"Garrett Hill","DET","3","3","0","17","8","60.1","5.97","4.33","1.19",".247","76.2%","36.5%","9.2%","92.2","4.03","5.75","5.15","5.56","-0.2","25097"
