"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid"
"Framber Valdez","HOU","17","6","0","31","31","201.1","8.67","3.00","0.49",".285","75.7%","66.5%","12.5%","94.0","2.82","3.31","3.06","2.99","4.4","17295"
"Cristian Javier","HOU","11","9","0","30","25","148.2","11.74","3.15","1.03",".228","83.6%","26.0%","9.1%","93.9","2.54","2.43","3.16","3.53","3.4","17606"
"Luis Garcia","HOU","15","8","0","28","28","157.1","8.98","2.69","1.32",".260","74.3%","37.6%","12.1%","94.1","3.72","3.59","3.93","3.82","2.1","23735"
"Hector Neris","HOU","6","4","3","70","0","65.1","10.88","2.34","0.41",".291","63.4%","34.6%","4.4%","94.4","3.72","3.29","2.35","3.29","1.6","11804"
"Rafael Montero","HOU","5","2","14","71","0","68.1","9.61","3.03","0.40",".260","73.7%","52.9%","5.7%","96.5","2.37","2.70","2.64","3.22","1.5","12760"
"Bryan Abreu","HOU","4","0","2","55","0","60.1","13.13","3.88","0.30",".336","81.7%","48.5%","4.9%","97.3","1.94","2.96","2.12","2.69","1.4","16609"
"Ryan Pressly","HOU","3","3","33","50","0","48.1","12.10","2.42","0.74",".260","69.5%","46.1%","12.5%","94.5","2.98","2.62","2.31","2.21","1.4","7005"
"Jose Urquidy","HOU","13","8","0","29","28","164.1","7.34","2.08","1.59",".264","78.9%","36.0%","12.9%","93.6","3.94","4.56","4.60","4.32","1.1","18413"
"Ryne Stanek","HOU","2","1","1","59","0","54.2","10.21","5.10","0.33",".264","91.9%","38.9%","3.8%","98.5","1.15","3.19","3.02","3.95","0.9","15947"
"Lance McCullers Jr.","HOU","4","2","0","8","8","47.2","9.44","4.15","0.76",".277","88.0%","50.0%","10.5%","93.3","2.27","3.57","3.49","3.58","0.8","14120"
"Hunter Brown","HOU","2","0","0","7","2","20.1","9.74","3.10","0.00",".294","90.9%","68.0%","0.0%","96.7","0.89","2.96","1.98","2.78","0.6","25880"
"Seth Martinez","HOU","1","1","0","29","0","38.2","8.84","3.26","0.70",".232","84.2%","41.6%","7.1%","92.0","2.09","2.76","3.32","3.92","0.4","21045"
"Parker Mushinski","HOU","0","0","0","7","0","7.1","9.82","3.68","0.00",".278","66.7%","50.0%","0.0%","92.3","3.68","4.05","2.57","3.58","0.1","21324"
"Matt Gage","HOU","0","1","0","11","0","13.0","8.31","4.15","0.69",".167","77.6%","50.0%","9.1%","92.7","1.38","3.05","3.88","4.13","0.0","17381"
"Enoli Paredes","HOU","0","0","0","3","0","3.0","6.00","9.00","0.00",".333","83.3%","44.4%","0.0%","95.0","3.00","3.80","4.78","5.77","0.0","20447"
"Phil Maton","HOU","0","2","0","67","0","65.2","10.01","3.29","1.37",".289","73.7%","38.2%","15.4%","91.1","3.84","4.28","4.33","3.82","-0.1","18064"
"Ronel Blanco","HOU","0","0","0","7","0","6.1","9.95","5.68","1.42",".368","69.0%","20.0%","12.5%","95.6","7.11","7.88","5.32","5.14","-0.1","19407"
"Blake Taylor","HOU","1","1","0","19","0","16.0","5.06","5.63","0.56",".259","77.2%","45.5%","6.3%","92.7","3.94","4.31","4.86","5.53","-0.1","16418"
"Brandon Bielak","HOU","0","0","0","5","0","12.1","8.76","2.92","1.46",".273","85.5%","51.4%","13.3%","93.4","3.65","4.25","4.98","4.67","-0.1","19866"
