"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid"
"Brady Singer","KCR","10","5","0","27","24","153.1","8.80","2.05","1.06",".300","79.6%","49.0%","14.0%","92.4","3.23","3.97","3.58","3.30","2.9","25377"
"Zack Greinke","KCR","4","9","0","26","26","137.0","4.80","1.77","0.92",".306","72.9%","41.3%","8.2%","89.2","3.68","4.78","4.03","4.54","1.9","1943"
"Jordan Lyles","KCR","12","11","0","32","32","179.0","7.24","2.61","1.31",".313","73.8%","40.2%","11.4%","91.9","4.42","4.94","4.40","4.39","1.4","7593"
"Scott Barlow","KCR","7","4","24","69","0","74.1","9.32","2.66","1.09",".240","83.9%","47.6%","13.0%","93.7","2.18","2.96","3.62","3.42","0.9","14993"
"Daniel Lynch","KCR","4","13","0","27","27","131.2","8.34","3.55","1.44",".335","72.8%","41.5%","13.5%","94.2","5.13","5.07","4.63","4.30","0.7","21537"
"Brad Keller","KCR","6","14","1","35","22","139.2","6.57","3.67","1.10",".310","67.0%","52.1%","12.6%","94.6","5.09","4.37","4.50","4.35","0.7","15734"
"Taylor Clarke","KCR","3","1","3","47","0","49.0","8.82","1.47","1.10",".314","67.2%","36.8%","9.4%","95.7","4.04","3.15","3.30","3.64","0.7","17611"
"Amir Garrett","KCR","3","1","0","60","0","45.1","9.73","6.35","0.00",".255","60.0%","38.9%","0.0%","94.2","4.96","3.62","3.40","4.77","0.5","14375"
"Kris Bubic","KCR","3","13","0","28","27","129.0","7.67","4.40","1.26",".352","68.8%","41.0%","13.3%","91.9","5.58","5.67","4.78","4.51","0.5","21455"
"Dylan Coleman","KCR","5","2","0","68","0","68.0","9.40","4.90","0.66",".247","77.1%","41.4%","7.5%","97.7","2.78","3.78","3.88","4.38","0.4","22276"
"Josh Staumont","KCR","3","3","3","42","0","37.2","10.27","6.93","0.72",".340","62.1%","30.4%","6.7%","96.3","6.45","4.97","4.25","4.99","0.1","18335"
"Ryan Yarbrough","KCR","3","8","0","20","9","80.0","6.86","2.48","1.35",".305","73.9%","37.9%","11.5%","86.9","4.50","4.40","4.77","4.75","0.0","16502"
"Max Castillo","KCR","0","2","0","14","6","39.1","8.47","3.43","1.83",".278","61.6%","46.9%","19.5%","93.0","5.95","","5.17","4.07","-0.1","21956"
"Jose Cuas","KCR","4","2","1","47","0","37.2","8.12","5.73","0.48",".325","77.0%","49.1%","6.7%","90.8","3.58","4.34","4.39","4.88","-0.1","17701"
"Hunter Dozier","KCR","0","0","0","1","0","1.0","0.00","9.00","9.00",".250","62.5%","60.0%","50.0%","70.5","18.00","11.91","19.11","9.07","-0.1","15117"
"Angel Zerpa","KCR","2","1","0","3","2","11.0","2.45","2.45","1.64",".194","97.8%","51.4%","16.7%","94.2","1.64","7.59","5.75","5.00","-0.1","22717"
"Nicky Lopez","KCR","0","0","0","1","0","1.0","0.00","0.00","18.00",".250","100.0%","33.3%","66.7%","68.4","18.00","27.66","29.11","7.55","-0.1","19339"
"Collin Snider","KCR","4","2","0","42","0","34.1","5.77","3.93","0.79",".339","60.6%","51.4%","11.1%","","6.55","6.01","4.45","4.48","-0.1","23307"
"Carlos Hernandez","KCR","0","5","0","27","7","56.0","5.63","4.98","1.13",".339","59.4%","38.1%","8.6%","97.0","7.39","5.28","5.20","5.72","-0.2","22713"
"Aroldis Chapman","KCR","4","4","9","43","0","36.1","10.65","6.94","0.99",".238","73.8%","35.6%","10.0%","97.5","4.46","4.46","4.57","4.77","-0.2","10233"
"Jackson Kowar","KCR","0","0","0","7","0","15.2","9.77","6.32","2.30",".460","64.8%","50.0%","25.0%","95.8","9.77","6.37","6.37","4.56","-0.3","21549"
"Jon Heasley","KCR","4","10","0","21","21","104.0","6.06","4.07","1.64",".276","69.9%","37.2%","12.3%","93.3","5.28","5.35","5.67","5.49","-0.5","22224"
