"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid"
"Shohei Ohtani","LAA","15","9","0","28","28","166.0","11.87","2.39","0.76",".289","83.1%","41.9%","9.3%","97.4","2.33","2.68","2.40","2.65","5.6","19755"
"Tyler Anderson","LAA","15","5","0","30","28","178.2","6.95","1.71","0.71",".256","77.8%","40.1%","6.4%","90.7","2.57","3.10","3.31","4.10","4.0","12880"
"Patrick Sandoval","LAA","6","9","0","27","27","148.2","9.14","3.63","0.48",".316","76.8%","47.4%","6.3%","93.2","2.91","3.91","3.09","3.67","3.8","19447"
"Reid Detmers","LAA","7","6","0","25","25","129.0","8.51","3.21","0.91",".277","74.1%","36.0%","8.7%","93.3","3.77","4.05","3.79","4.20","2.3","27468"
"Jose Suarez","LAA","8","8","0","22","20","109.0","8.50","2.72","1.16",".289","75.6%","41.3%","11.8%","92.8","3.96","3.67","3.91","3.86","1.6","19911"
"Jimmy Herget","LAA","2","1","9","49","1","69.0","8.22","1.96","0.52",".243","76.2%","40.1%","6.1%","92.3","2.48","2.92","2.82","3.48","1.6","17556"
"Matt Moore","LAA","5","2","5","63","0","74.0","10.09","4.62","0.36",".257","81.1%","43.9%","4.2%","94.0","1.95","2.83","2.98","3.87","1.3","1890"
"Jose Quijada","LAA","0","5","3","42","0","40.2","11.51","4.65","1.11",".225","70.7%","33.0%","9.6%","94.6","3.98","2.87","3.85","4.14","0.5","19200"
"Aaron Loup","LAA","0","5","1","65","0","58.2","7.98","3.38","0.61",".287","58.7%","49.7%","8.2%","","3.84","4.34","3.76","4.11","0.4","10343"
"Carlos Estevez","LAA","4","4","2","62","0","57.0","8.53","3.63","1.11",".247","70.4%","36.1%","10.1%","97.5","3.47","4.17","4.08","4.27","0.4","14542"
"Ryan Tepera","LAA","5","4","6","59","0","57.1","7.38","3.14","1.10",".224","68.3%","41.0%","11.1%","92.8","3.61","3.24","4.21","4.25","0.1","10291"
"Jaime Barria","LAA","3","3","0","35","1","79.1","6.13","2.16","1.25",".227","80.5%","40.9%","11.3%","92.1","2.61","4.11","4.39","4.39","0.1","18356"
"Zack Weiss","LAA","0","1","0","12","0","13.1","12.15","4.73","1.35",".179","73.8%","34.5%","14.3%","94.5","3.38","2.41","4.16","3.77","0.0","15444"
"Andrew Wantz","LAA","2","1","0","42","1","50.1","9.30","3.75","1.43",".240","84.0%","29.7%","11.9%","93.8","3.22","3.89","4.48","4.39","0.0","24933"
"Brett Phillips","LAA","0","0","0","3","0","4.0","0.00","4.50","6.75",".353","44.1%","25.0%","25.0%","","18.00","39.45","14.36","9.05","-0.2","14735"
"Chase Silseth","LAA","1","3","0","7","7","28.2","7.53","3.77","2.20",".306","69.1%","46.2%","25.0%","95.6","6.59","6.61","5.97","4.24","-0.2","30074"
"Jose Marte","LAA","0","0","0","11","0","11.0","12.27","14.73","1.64",".261","73.3%","16.0%","16.7%","96.6","7.36","7.78","7.66","6.91","-0.3","21761"
"Tucker Davidson","LAA","2","7","0","12","11","52.0","5.71","6.06","1.21",".285","64.5%","44.1%","11.1%","93.1","6.75","","5.79","5.83","-0.3","19871"
