"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid"
"Clayton Kershaw","LAD","12","3","0","22","22","126.1","9.76","1.64","0.71",".268","79.4%","47.1%","9.1%","90.8","2.28","2.51","2.57","2.83","3.8","2036"
"Julio Urias","LAD","17","7","0","31","31","175.0","8.54","2.11","1.18",".229","86.6%","39.7%","10.8%","93.1","2.16","2.81","3.71","3.81","3.2","14765"
"Tony Gonsolin","LAD","16","1","0","24","24","130.1","8.22","2.42","0.76",".207","83.8%","43.1%","8.3%","93.2","2.14","3.12","3.28","3.69","2.7","19388"
"Noah Syndergaard","LAD","10","10","0","25","24","134.2","6.35","2.07","0.94",".295","72.4%","42.8%","8.5%","94.5","3.94","","3.83","4.28","2.2","11762"
"Evan Phillips","LAD","7","3","2","64","0","63.0","11.00","2.14","0.29",".228","83.0%","45.6%","3.9%","96.1","1.14","2.18","1.94","2.72","2.2","17734"
"Alex Vesia","LAD","5","0","1","63","0","54.1","13.09","3.98","0.33",".292","81.4%","35.0%","3.9%","94.1","2.15","2.79","2.12","3.03","1.5","25007"
"Brusdar Graterol","LAD","2","4","4","46","1","49.2","7.79","1.81","0.54",".261","66.9%","63.1%","9.4%","99.4","3.26","2.47","2.95","3.12","0.8","20367"
"Daniel Hudson","LAD","2","3","5","25","0","24.1","11.10","1.85","0.37",".271","75.2%","53.4%","6.7%","97.1","2.22","2.74","2.04","2.42","0.8","7146"
"Yency Almonte","LAD","0","0","1","33","0","35.1","8.41","2.55","0.51",".186","95.9%","48.9%","6.9%","95.8","1.02","3.01","3.17","3.65","0.5","15068"
"Caleb Ferguson","LAD","1","0","0","37","1","34.2","9.61","4.41","0.26",".259","81.3%","42.4%","3.4%","94.7","1.82","3.05","3.00","3.86","0.5","19349"
"Shelby Miller","LAD","0","1","0","4","0","7.0","18.00","3.86","0.00",".462","44.4%","15.4%","0.0%","94.1","6.43","1.90","0.40","1.67","0.4","10197"
"Dustin May","LAD","2","3","0","6","6","30.0","8.70","4.20","0.90",".237","64.2%","51.3%","13.0%","98.1","4.50","3.67","4.38","4.21","0.3","19716"
"Andre Jackson","LAD","0","0","1","4","0","9.2","8.38","3.72","0.00",".310","76.9%","50.0%","0.0%","95.0","1.86","3.34","2.49","4.02","0.2","21298"
"Phil Bickford","LAD","2","1","0","60","0","61.0","9.89","2.07","1.77",".270","69.0%","37.3%","15.6%","94.1","4.72","3.46","4.26","3.57","0.1","18519"
"Michael Grove","LAD","1","0","0","7","6","29.1","7.36","3.07","1.84",".280","62.5%","40.2%","13.3%","94.2","4.60","3.10","5.16","4.77","0.0","23221"
"Ryan Pepiot","LAD","3","0","0","9","7","36.1","10.40","6.69","1.49",".244","86.1%","26.4%","12.0%","93.9","3.47","4.31","5.42","5.31","-0.1","26221"
"Justin Bruihl","LAD","1","1","1","24","0","23.2","4.94","2.28","1.52",".243","78.7%","37.8%","12.5%","88.9","3.80","3.72","5.35","5.16","-0.3","23779"
