"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid"
"Sandy Alcantara","MIA","14","9","0","32","32","228.2","8.15","1.97","0.63",".262","78.8%","53.4%","8.5%","98.0","2.28","2.92","2.99","3.29","5.7","18684"
"Johnny Cueto","MIA","8","10","0","25","24","158.1","5.80","1.88","0.85",".295","74.9%","42.6%","7.7%","91.5","3.35","4.02","3.79","4.38","2.4","6893"
"Jesus Luzardo","MIA","4","7","0","18","18","100.1","10.76","3.14","0.90",".253","71.7%","40.1%","11.5%","96.4","3.32","3.39","3.12","3.11","2.2","19959"
"Braxton Garrett","MIA","3","7","0","17","17","88.0","9.20","2.45","0.92",".321","76.4%","47.8%","11.8%","91.5","3.58","4.05","3.56","3.50","1.5","21844"
"Trevor Rogers","MIA","4","11","0","23","23","107.0","8.92","3.79","1.26",".330","66.9%","42.0%","13.2%","94.6","5.47","4.84","4.36","4.11","0.8","22286"
"Dylan Floro","MIA","1","3","10","56","0","53.2","8.05","2.52","0.67",".288","69.7%","45.2%","7.7%","92.5","3.02","3.05","3.13","3.60","0.7","13394"
"Tanner Scott","MIA","4","5","20","67","0","62.2","12.93","6.61","0.72",".347","72.4%","46.3%","13.2%","96.9","4.31","4.17","3.67","3.53","0.4","17586"
"Edward Cabrera","MIA","6","4","0","14","14","71.2","9.42","4.14","1.26",".207","86.1%","45.3%","15.4%","96.0","3.01","4.05","4.59","4.12","0.3","21690"
"A.J. Puk","MIA","4","3","4","62","0","66.1","10.31","3.12","0.95",".279","77.4%","43.4%","11.5%","96.9","3.12","3.70","3.69","3.67","0.3","19343"
"Tommy Nance","MIA","2","3","0","35","2","43.2","11.75","4.33","1.03",".367","76.2%","46.4%","14.7%","93.8","4.33","3.94","3.71","3.37","0.2","19178"
"Matt Barnes","MIA","0","4","8","44","0","39.2","7.71","4.76","0.45",".293","66.4%","45.3%","4.3%","95.2","4.31","4.28","3.87","4.97","0.1","12863"
"Huascar Brazoban","MIA","1","1","0","27","0","32.0","11.25","5.91","0.84",".307","80.4%","49.4%","12.0%","97.4","3.09","3.62","3.99","3.93","0.0","6107"
"JT Chargois","MIA","2","0","0","21","3","22.1","6.85","2.01","1.21",".220","85.1%","59.7%","15.0%","95.6","2.42","2.59","4.28","3.86","-0.1","13767"
"Max Meyer","MIA","0","1","0","2","2","6.0","9.00","3.00","3.00",".313","64.5%","44.4%","25.0%","94.9","7.50","5.45","6.45","4.09","-0.1","27474"
"Steven Okert","MIA","5","5","0","60","0","51.1","11.05","4.56","1.23",".229","83.9%","35.0%","13.0%","93.7","2.98","3.22","4.36","4.14","-0.1","13580"
"Anthony Bender","MIA","1","3","6","22","0","19.1","7.91","3.72","1.40",".286","87.2%","53.8%","25.0%","98.1","3.26","4.84","4.77","3.67","-0.1","19742"
"Andrew Nardi","MIA","1","1","0","13","0","14.2","14.73","8.59","3.07",".500","68.8%","22.2%","21.7%","94.5","9.82","7.04","7.14","5.02","-0.4","25942"
