"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid"
"Corbin Burnes","MIL","12","8","0","33","33","202.0","10.83","2.27","1.02",".259","76.8%","47.0%","14.1%","96.2","2.94","3.05","3.14","2.85","4.6","19361"
"Brandon Woodruff","MIL","13","4","0","27","27","153.1","11.15","2.47","1.06",".285","78.6%","37.6%","11.0%","96.4","3.05","3.15","3.08","3.14","3.5","16162"
"Devin Williams","MIL","6","4","15","65","0","60.2","14.24","4.45","0.30",".266","76.8%","51.4%","6.3%","94.1","1.93","2.04","2.01","2.36","2.2","15816"
"Freddy Peralta","MIL","4","4","0","18","17","78.0","9.92","3.12","0.69",".246","70.1%","40.0%","7.1%","92.9","3.58","2.70","3.06","3.66","2.0","18679"
"Eric Lauer","MIL","11","7","0","29","29","158.2","8.91","3.35","1.53",".260","79.0%","33.6%","14.1%","93.3","3.69","4.02","4.50","4.08","1.1","19316"
"Adrian Houser","MIL","6","10","0","22","21","102.2","6.05","4.12","0.70",".289","61.1%","46.7%","8.0%","94.4","4.73","4.94","4.21","4.64","1.0","12718"
"Aaron Ashby","MIL","2","10","1","27","19","107.1","10.57","3.94","1.26",".324","70.3%","56.9%","19.7%","95.9","4.44","3.75","4.06","3.29","0.9","23550"
"Hoby Milner","MIL","3","3","0","67","0","64.2","8.91","2.09","0.70",".309","71.1%","48.9%","9.4%","89.2","3.76","3.39","3.16","3.37","0.7","13346"
"Wade Miley","MIL","2","2","0","9","8","37.0","6.81","3.41","0.73",".250","63.1%","52.6%","7.9%","89.2","3.16","3.86","3.95","4.42","0.5","8779"
"Peter Strzelecki","MIL","2","1","1","30","0","35.0","10.29","3.86","0.51",".289","75.2%","31.1%","5.3%","93.5","2.83","3.39","2.94","3.81","0.4","21367"
"Justin Wilson","MIL","0","1","0","5","0","3.2","17.18","0.00","0.00",".500","66.7%","50.0%","0.0%","95.3","2.45","1.46","-0.71","0.10","0.2","4301"
"Janson Junk","MIL","1","1","0","3","2","8.1","11.88","3.24","1.08",".409","60.3%","60.9%","20.0%","92.7","6.48","3.24","3.11","2.44","0.2","23301"
"Jake Cousins","MIL","2","1","0","12","0","13.1","14.18","5.40","0.68",".333","86.0%","46.4%","9.1%","95.8","2.70","3.24","3.19","3.43","0.2","21620"
"Joel Payamps","MIL","3","6","0","41","0","55.2","6.63","2.59","1.13",".303","79.2%","52.8%","12.7%","94.9","3.23","","4.24","4.07","0.2","14332"
"Matt Bush","MIL","2","3","3","65","6","59.2","11.16","2.72","1.66",".232","67.9%","40.1%","17.2%","97.4","3.47","","4.08","3.28","0.1","1246"
"Mike Brosseau","MIL","0","0","0","3","0","3.0","0.00","3.00","0.00",".167","100.0%","50.0%","0.0%","73.8","0.00","13.67","4.11","5.10","0.0","19683"
"Victor Caratini","MIL","0","0","0","1","0","1.0","0.00","9.00","0.00",".400","25.0%","40.0%","0.0%","64.2","27.00","4.43","9.11","12.07","0.0","14968"
"Ethan Small","MIL","0","0","0","2","2","6.1","9.95","11.37","1.42",".412","75.3%","33.3%","16.7%","91.1","7.11","8.43","6.74","6.09","-0.1","26364"
"Bryse Wilson","MIL","3","9","0","25","20","115.2","6.15","2.49","1.56",".304","64.1%","43.3%","14.8%","92.9","5.52","5.53","5.06","4.54","-0.1","19990"
"Tyson Miller","MIL","1","2","0","4","2","10.2","6.75","6.75","0.84",".405","48.8%","44.7%","9.1%","","10.97","5.28","5.64","5.95","-0.1","19976"
"Elvis Peguero","MIL","0","0","0","13","0","17.1","6.23","2.60","2.08",".339","53.6%","50.8%","21.1%","","6.75","5.11","5.59","4.22","-0.2","21652"
"Javy Guerra","MIL","2","1","0","18","0","18.0","5.00","5.50","1.50",".228","71.4%","39.0%","11.5%","98.6","5.00","","6.17","6.14","-0.3","17292"
