"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid"
"Pablo Lopez","MIN","10","10","0","32","32","180.0","8.70","2.65","1.05",".283","74.2%","46.1%","12.7%","93.5","3.75","3.75","3.71","3.56","2.8","17085"
"Sonny Gray","MIN","8","5","0","24","24","119.2","8.80","2.71","0.83",".277","77.2%","44.5%","9.4%","92.1","3.08","3.67","3.40","3.66","2.4","12768"
"Tyler Mahle","MIN","6","8","0","23","23","120.2","9.40","3.21","1.19",".278","69.5%","35.6%","10.4%","93.3","4.40","","3.87","4.03","2.1","16358"
"Joe Ryan","MIN","13","8","0","27","27","147.0","9.24","2.88","1.22",".253","77.8%","27.7%","9.5%","92.0","3.55","3.57","3.99","4.35","2.1","21390"
"Caleb Thielbar","MIN","4","3","1","67","0","59.1","12.13","2.73","0.76",".324","69.4%","29.5%","7.1%","92.9","3.49","2.53","2.42","3.07","1.6","10078"
"Jhoan Duran","MIN","2","4","8","57","0","67.2","11.84","2.13","0.80",".291","89.3%","61.0%","17.6%","100.9","1.86","2.22","2.52","2.11","1.5","21029"
"Bailey Ober","MIN","2","3","0","11","11","56.0","8.20","1.77","0.64",".277","70.4%","27.8%","4.8%","91.8","3.21","4.71","2.92","4.18","1.4","21224"
"Griffin Jax","MIN","7","4","1","65","0","72.1","9.71","2.49","0.87",".269","72.3%","47.3%","10.1%","95.4","3.36","3.17","3.17","3.32","0.9","20253"
"Jovani Moran","MIN","0","1","1","31","0","40.2","11.95","3.98","0.00",".272","74.4%","48.9%","0.0%","93.4","2.21","2.28","1.78","2.88","0.9","20422"
"Jorge Lopez","MIN","4","7","23","67","0","71.0","9.13","3.93","0.51",".266","76.1%","57.8%","8.3%","97.3","2.54","","3.42","3.69","0.8","14527"
"Dennis Santana","MIN","3","8","1","63","1","58.2","8.28","4.30","0.31",".287","54.3%","48.2%","3.9%","97.7","5.22","3.89","3.35","4.19","0.7","17878"
"Trevor Megill","MIN","4","3","0","39","0","45.0","9.80","3.40","0.80",".368","62.5%","45.0%","9.5%","98.0","4.80","4.91","3.29","3.52","0.4","17722"
"Louie Varland","MIN","1","2","0","5","5","26.0","7.27","2.08","1.38",".297","80.3%","35.9%","12.5%","93.8","3.81","4.56","4.30","4.13","0.2","27691"
"Josh Winder","MIN","4","6","0","15","11","67.0","6.31","2.42","1.48",".282","71.8%","35.0%","11.2%","94.3","4.70","5.21","4.87","4.90","0.1","24606"
"Ronny Henriquez","MIN","0","1","0","3","0","11.2","6.94","2.31","0.77",".200","77.6%","52.8%","7.1%","93.2","2.31","3.03","3.97","4.63","0.0","24094"
"Jorge Alcala","MIN","0","0","0","2","0","2.1","7.71","7.71","0.00",".333","100.0%","50.0%","0.0%","95.2","0.00","4.62","3.97","5.24","0.0","19459"
"Simeon Woods Richardson","MIN","0","1","0","1","1","5.0","5.40","3.60","1.80",".143","55.6%","20.0%","16.7%","91.1","3.60","8.43","5.71","4.89","0.0","24494"
"Michael A. Taylor","MIN","0","0","0","1","0","2.0","9.00","9.00","4.50",".500","89.3%","33.3%","25.0%","92.5","9.00","9.64","10.61","7.07","-0.1","11489"
"Cole Sands","MIN","0","3","1","11","3","30.2","8.22","3.82","1.17",".326","67.5%","44.4%","9.8%","91.7","5.87","4.43","4.74","5.03","-0.1","21461"
"Emilio Pagan","MIN","4","6","9","59","0","63.0","12.00","3.71","1.71",".318","72.6%","40.4%","18.5%","95.6","4.43","3.91","4.21","3.26","-0.1","14771"
"Nick Gordon","MIN","0","0","0","4","0","3.2","0.00","9.82","4.91",".421","44.6%","14.3%","16.7%","73.0","22.09","7.22","13.48","11.23","-0.2","16337"
