"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid"
"Justin Verlander","NYM","18","4","0","28","28","175.0","9.51","1.49","0.62",".240","80.5%","37.9%","6.2%","95.1","1.75","2.66","2.49","3.23","6.1","8700"
"Max Scherzer","NYM","11","5","0","23","23","145.1","10.71","1.49","0.81",".276","83.3%","31.1%","7.5%","94.1","2.29","2.87","2.62","3.23","4.4","3137"
"Jose Quintana","NYM","6","7","0","32","32","165.2","7.44","2.55","0.43",".302","74.2%","46.4%","5.3%","91.3","2.93","","2.99","3.72","4.0","11423"
"Edwin Diaz","NYM","3","1","32","61","0","62.0","17.13","2.61","0.44",".330","90.4%","46.9%","9.4%","99.1","1.31","1.69","0.90","1.04","3.0","14710"
"Carlos Carrasco","NYM","15","7","0","29","29","152.0","9.00","2.43","1.01",".337","74.7%","46.0%","12.1%","93.3","3.97","4.08","3.53","3.45","2.4","6632"
"David Peterson","NYM","7","5","0","28","19","105.2","10.73","4.09","0.94",".313","73.9%","49.4%","15.1%","93.7","3.83","3.94","3.64","3.31","1.4","20302"
"Adam Ottavino","NYM","6","3","3","66","0","65.2","10.83","2.19","0.82",".276","89.1%","51.9%","12.0%","94.8","2.06","2.35","2.85","2.79","1.1","1247"
"Brooks Raley","NYM","1","2","6","60","0","53.2","10.23","2.52","0.50",".254","72.5%","37.5%","6.5%","90.9","2.68","2.79","2.74","3.28","0.9","10061"
"David Robertson","NYM","4","3","20","58","0","63.2","11.45","4.95","0.85",".237","86.0%","46.5%","10.3%","","2.40","","3.58","3.71","0.7","8241"
"Tylor Megill","NYM","4","2","0","15","9","47.1","9.70","2.47","1.33",".305","65.7%","40.9%","14.6%","95.8","5.13","4.31","3.77","3.35","0.6","21318"
"Jeff Brigham","NYM","0","1","1","16","0","24.0","10.50","3.75","1.13",".317","79.1%","19.4%","10.0%","94.7","3.38","3.94","3.65","3.88","0.2","16631"
"Bryce Montes de Oca","NYM","0","0","0","3","0","3.1","16.20","5.40","0.00",".636","55.6%","45.5%","0.0%","","10.80","3.70","1.31","2.20","0.1","21319"
"Darin Ruf","NYM","0","0","0","1","0","2.0","0.00","0.00","0.00",".143","100.0%","28.6%","0.0%","60.3","0.00","4.68","3.11","6.81","0.0","9929"
"Sam Coonrod","NYM","0","0","0","12","0","12.2","8.53","4.97","0.71",".314","48.5%","36.1%","7.7%","97.1","7.82","4.05","4.61","5.11","0.0","17264"
"Drew Smith","NYM","3","3","0","44","0","46.0","10.37","2.93","1.76",".264","89.1%","34.5%","15.0%","95.8","3.33","3.78","4.33","3.72","-0.1","17755"
"Jose Butto","NYM","0","0","0","1","1","4.0","11.25","4.50","4.50",".500","48.8%","18.8%","25.0%","94.7","15.75","6.37","8.61","5.07","-0.1","23313"
"Stephen Nogosek","NYM","1","1","0","12","0","22.0","8.59","2.86","1.64",".258","80.4%","33.3%","12.1%","95.0","2.45","3.89","4.66","4.51","-0.1","19545"
"Elieser Hernandez","NYM","3","6","0","20","10","62.1","8.66","3.18","2.74",".277","67.8%","27.4%","17.3%","91.6","6.35","4.81","6.40","5.05","-0.9","16933"
