"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid"
"Carlos Rodon","NYY","14","8","0","31","31","178.0","11.98","2.63","0.61",".293","75.1%","34.1%","6.5%","95.5","2.88","2.64","2.25","2.91","6.2","16137"
"Nestor Cortes","NYY","12","4","0","28","28","158.1","9.27","2.16","0.91",".232","82.8%","33.5%","8.2%","91.7","2.44","2.70","3.13","3.63","3.6","17874"
"Gerrit Cole","NYY","13","8","0","33","33","200.2","11.53","2.24","1.48",".268","78.2%","42.4%","16.8%","97.8","3.50","3.31","3.47","2.77","3.3","13125"
"Frankie Montas","NYY","5","12","0","27","27","144.1","8.85","2.68","1.12",".298","70.9%","45.6%","12.8%","96.2","4.05","","3.78","3.61","2.0","14309"
"Michael King","NYY","6","3","1","34","0","51.0","11.65","2.82","0.53",".281","76.9%","47.0%","9.1%","96.5","2.29","2.83","2.23","2.42","1.7","19853"
"Luis Severino","NYY","7","3","0","19","19","102.0","9.88","2.65","1.24",".237","79.9%","44.3%","13.9%","96.3","3.18","2.94","3.70","3.38","1.4","15890"
"Scott Effross","NYY","1","4","4","60","1","56.2","9.85","2.38","0.48",".284","66.9%","44.6%","5.6%","91.0","2.54","","2.46","3.18","1.3","18384"
"Clay Holmes","NYY","7","4","20","62","0","63.2","9.19","2.83","0.28",".262","74.4%","75.8%","10.0%","97.8","2.54","2.41","2.85","2.90","1.1","13649"
"Wandy Peralta","NYY","3","4","4","56","0","56.1","7.51","2.72","0.32",".256","71.7%","53.9%","4.3%","95.3","2.72","2.66","2.86","3.61","1.0","14295"
"Domingo German","NYY","2","5","0","15","14","72.1","7.22","2.36","1.37",".262","78.5%","39.8%","12.1%","92.7","3.61","3.78","4.44","4.33","0.7","17149"
"Clarke Schmidt","NYY","5","5","2","29","3","57.2","8.74","3.59","0.78",".273","75.0%","42.1%","8.6%","94.7","3.12","3.51","3.60","3.96","0.5","19899"
"Ron Marinaccio","NYY","1","0","0","40","0","44.0","11.45","4.91","0.41",".215","81.3%","41.5%","4.7%","94.6","2.05","2.70","3.20","4.06","0.4","23488"
"Jonathan Loaisiga","NYY","2","3","2","50","0","48.0","6.94","3.56","0.56",".278","64.0%","59.6%","9.1%","98.1","4.13","3.46","3.57","3.78","0.4","19753"
"Lou Trivino","NYY","2","8","11","64","0","53.2","11.24","4.02","1.01",".389","73.0%","52.6%","14.3%","95.7","4.53","","3.63","3.34","0.2","15043"
"Luis Gil","NYY","0","0","0","1","1","4.0","11.25","4.50","0.00",".417","42.9%","41.7%","0.0%","97.2","9.00","3.49","2.11","3.22","0.2","21052"
"Greg Weissert","NYY","3","0","0","12","0","11.1","8.74","3.97","0.79",".172","51.7%","40.0%","7.7%","94.5","5.56","2.87","4.17","4.72","0.0","20375"
"Tommy Kahnle","NYY","0","0","1","13","0","12.2","9.95","2.13","1.42",".125","85.4%","68.0%","28.6%","95.6","2.84","2.39","4.38","3.14","0.0","11384"
"Albert Abreu","NYY","2","2","0","33","0","38.2","8.84","5.12","1.16",".288","84.9%","51.9%","15.6%","98.2","3.26","","4.77","4.31","-0.1","17485"
