"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid"
"Zach Jackson","OAK","2","3","3","54","0","48.0","12.56","6.19","0.19",".273","73.1%","26.8%","1.9%","94.6","3.00","3.59","2.78","4.14","0.9","19493"
"Paul Blackburn","OAK","7","6","0","21","21","111.1","7.19","2.43","1.21",".290","74.2%","47.4%","13.9%","91.7","4.28","4.14","4.21","3.89","0.8","14739"
"JP Sears","OAK","6","3","0","17","11","70.0","6.56","2.96","1.03",".289","75.5%","40.5%","9.2%","93.2","3.86","","4.21","4.57","0.5","23429"
"Dany Jimenez","OAK","3","4","11","34","0","34.1","8.91","4.72","0.52",".231","65.4%","40.9%","4.9%","94.2","3.41","2.81","3.46","4.47","0.4","21170"
"James Kaprielian","OAK","5","9","0","26","26","134.0","6.58","3.96","1.07",".263","72.0%","37.7%","8.9%","94.0","4.23","4.65","4.63","5.06","0.3","18331"
"Ken Waldichuk","OAK","2","2","0","7","7","34.2","8.57","2.60","1.30",".287","69.2%","35.4%","11.6%","94.1","4.93","4.59","4.30","4.26","0.3","27681"
"Trevor May","OAK","2","0","1","26","0","25.0","10.80","3.24","1.44",".338","72.4%","29.2%","12.1%","96.2","5.04","3.64","3.87","3.75","0.1","6398"
"Domingo Acevedo","OAK","4","4","4","70","0","67.2","7.71","2.26","1.20",".229","76.7%","40.8%","12.3%","93.2","3.33","3.46","4.01","3.88","0.0","17092"
"Freddy Tarnok","OAK","0","0","0","1","0","0.2","13.50","0.00","0.00",".500","100.0%","50.0%","0.0%","96.7","0.00","3.94","0.11","0.11","0.0","23324"
"Jace Peterson","OAK","0","0","0","1","0","1.0","0.00","0.00","0.00",".000","100.0%","66.7%","0.0%","83.0","0.00","1.95","3.11","4.59","0.0","12325"
"Kyle Muller","OAK","1","1","0","3","3","12.1","8.76","5.84","1.46",".297","54.9%","39.5%","18.2%","94.3","8.03","5.49","5.22","4.43","0.0","20167"
"Sam Moll","OAK","2","1","0","53","0","43.1","9.55","4.57","1.04",".252","82.4%","50.0%","12.8%","","2.91","2.96","4.22","4.05","0.0","14874"
"Chad Smith","OAK","0","1","0","15","0","18.0","11.50","7.50","1.00",".326","59.6%","55.6%","14.3%","","7.50","3.91","4.83","4.54","-0.1","20190"
"Kirby Snead","OAK","1","1","1","46","0","44.2","7.05","4.43","1.01",".349","67.1%","42.7%","8.5%","93.7","5.84","4.43","4.61","5.11","-0.3","19179"
"Adam Oller","OAK","2","8","0","19","14","74.1","5.57","4.72","2.06",".279","68.5%","31.6%","13.4%","93.5","6.30","5.82","6.50","6.06","-1.1","20132"
