"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid"
"Aaron Nola","PHI","11","13","0","32","32","205.0","10.32","1.27","0.83",".289","73.0%","43.6%","9.8%","92.9","3.25","2.74","2.58","2.77","6.3","16149"
"Zack Wheeler","PHI","12","7","0","26","26","153.0","9.59","2.00","0.76",".287","77.1%","45.9%","9.8%","96.1","2.82","3.10","2.89","3.06","4.1","10310"
"Taijuan Walker","PHI","12","5","0","29","29","157.1","7.55","2.57","0.86",".284","75.7%","46.2%","9.6%","93.8","3.49","3.94","3.65","3.88","2.5","11836"
"Ranger Suarez","PHI","10","7","0","29","29","155.1","7.47","3.36","0.87",".293","71.8%","55.4%","11.8%","93.3","3.65","3.78","3.87","3.82","2.3","17277"
"Jose Alvarado","PHI","4","2","2","59","0","51.0","14.29","4.24","0.35",".340","69.8%","56.1%","7.7%","98.2","3.18","2.53","1.92","2.16","1.7","17780"
"Nick Nelson","PHI","3","2","1","47","2","68.2","9.04","4.72","0.13",".332","65.0%","39.8%","1.3%","96.5","4.85","3.64","3.04","4.47","1.0","20153"
"Andrew Bellatti","PHI","4","4","2","59","1","54.1","12.92","4.14","0.83",".347","72.7%","27.4%","8.1%","94.5","3.31","3.64","2.87","3.37","1.0","10657"
"Seranthony Dominguez","PHI","6","5","9","54","0","51.0","10.76","3.88","0.71",".269","76.8%","48.0%","9.8%","97.8","3.00","3.36","3.09","3.26","1.0","19249"
"Craig Kimbrel","PHI","6","7","22","63","0","60.0","10.80","4.20","0.60",".311","67.6%","39.7%","5.9%","95.8","3.75","3.51","3.23","4.04","0.9","6655"
"Bailey Falter","PHI","6","4","0","20","16","84.0","7.93","1.82","1.71",".292","80.6%","31.7%","14.4%","91.6","3.86","4.62","4.65","4.13","0.6","20070"
"Connor Brogdon","PHI","2","2","2","47","0","44.0","10.23","2.25","1.23",".317","84.0%","31.1%","11.1%","95.3","3.27","3.17","3.43","3.47","0.6","21205"
"Gregory Soto","PHI","2","11","30","64","0","60.1","8.95","5.07","0.30",".294","66.5%","48.1%","3.4%","98.8","3.28","4.08","3.59","4.59","0.6","19677"
"Matt Strahm","PHI","4","4","4","50","0","44.2","10.48","3.43","1.01",".289","67.9%","36.8%","9.4%","94.3","3.83","3.34","3.72","4.02","0.3","13799"
"Luis Ortiz","PHI","0","0","0","6","0","8.2","6.23","3.12","0.00",".208","87.5%","41.7%","0.0%","94.9","1.04","3.15","2.77","4.47","0.1","16942"
"Michael Plassmeyer","PHI","0","1","0","2","0","7.1","8.59","1.23","1.23",".400","81.4%","42.9%","20.0%","89.3","3.68","5.35","3.39","2.62","0.1","23191"
"Kody Clemens","PHI","0","0","0","7","0","7.0","1.29","1.29","0.00",".387","76.9%","32.3%","0.0%","54.1","3.86","6.05","3.26","5.58","0.0","20572"
"Darick Hall","PHI","0","0","0","1","0","0.1","0.00","0.00","0.00",".500","100.0%","0.0%","0.0%","84.5","0.00","10.00","3.11","7.55","0.0","19717"
"Cristopher Sanchez","PHI","2","2","1","15","3","40.0","7.88","3.83","1.13",".284","65.4%","54.2%","14.7%","","5.63","4.31","4.56","4.20","0.0","20778"
"Andrew Vasquez","PHI","0","0","0","10","0","8.2","10.38","4.15","1.04",".238","60.3%","45.5%","16.7%","","6.23","","4.73","4.25","0.0","19482"
"Josh Harrison","PHI","0","0","0","3","0","3.0","6.00","6.00","3.00",".615","52.1%","35.7%","16.7%","56.9","18.00","6.25","8.11","6.74","-0.1","8202"
"Yunior Marte","PHI","1","1","0","39","0","48.0","8.25","4.13","0.94",".307","63.2%","48.6%","11.9%","97.7","5.44","3.83","4.38","4.32","-0.1","14416"
"Garrett Stubbs","PHI","0","0","0","4","0","3.2","2.45","2.45","7.36",".308","26.3%","50.0%","50.0%","83.1","17.18","11.49","14.02","5.81","-0.2","18067"
"Erich Uelmen","PHI","2","1","1","25","0","27.0","7.00","4.00","1.00",".275","72.2%","47.6%","10.0%","93.8","4.67","4.05","5.00","5.20","-0.2","20323"
