"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid"
"Mitch Keller","PIT","5","12","0","31","29","159.0","7.81","3.40","0.79",".320","73.2%","49.0%","10.4%","95.7","3.91","4.23","3.88","3.99","2.1","17594"
"JT Brubaker","PIT","3","12","0","28","28","144.0","9.19","3.38","1.06",".334","68.8%","44.0%","11.7%","93.0","4.69","4.56","3.92","3.87","1.9","17578"
"Rich Hill","PIT","8","7","0","26","26","124.1","7.89","2.68","1.09",".305","68.3%","40.2%","10.1%","88.7","4.27","4.08","3.92","4.12","1.8","4806"
"David Bednar","PIT","3","4","19","45","0","51.2","12.02","2.79","0.70",".317","74.9%","33.3%","8.2%","96.6","2.61","3.22","2.44","2.83","1.5","19569"
"Duane Underwood Jr.","PIT","1","6","1","51","1","57.1","8.95","3.92","0.16",".333","61.2%","48.5%","2.1%","96.2","4.40","4.11","2.92","3.91","0.9","14677"
"Roansy Contreras","PIT","5","5","0","21","18","95.0","8.15","3.69","1.23",".257","74.4%","36.4%","10.7%","95.8","3.79","4.43","4.38","4.48","0.9","22810"
"Johan Oviedo","PIT","4","3","0","21","8","56.0","8.68","3.70","0.80",".280","79.4%","49.4%","8.5%","96.2","3.21","","3.74","4.14","0.7","22487"
"Vince Velasquez","PIT","3","3","0","27","9","75.1","8.24","2.99","1.31",".269","66.6%","35.7%","10.2%","93.3","4.78","4.65","4.25","4.48","0.4","11189"
"Colin Holderman","PIT","5","0","0","24","0","28.1","7.62","4.45","0.00",".263","63.2%","45.3%","0.0%","96.9","3.81","","3.32","4.79","0.3","22361"
"Luis Ortiz","PIT","0","2","0","4","4","16.0","9.56","5.63","0.56",".171","54.2%","43.9%","5.9%","98.5","4.50","2.96","3.67","4.44","0.3","27646"
"Robert Stephenson","PIT","2","2","0","58","0","58.0","8.53","2.17","1.55",".317","60.9%","28.6%","12.0%","96.9","5.43","","4.23","4.11","0.2","13594"
"Yerry De Los Santos","PIT","0","3","3","26","0","25.2","9.12","3.86","1.05",".268","53.7%","52.8%","12.0%","95.2","4.91","4.68","4.01","3.93","0.1","21420"
"Wil Crowe","PIT","6","10","4","60","1","76.0","8.05","4.50","0.95",".279","70.6%","49.8%","11.6%","95.3","4.38","4.20","4.31","4.29","-0.1","19800"
"Jarlin Garcia","PIT","1","4","1","58","0","65.0","7.75","2.49","1.38",".270","69.2%","39.1%","11.5%","93.7","3.74","4.28","4.27","4.25","-0.1","18282"
"Yohan Ramirez","PIT","4","1","1","30","0","37.1","7.71","4.82","0.96",".267","74.4%","49.5%","12.9%","94.5","4.58","","4.88","4.72","-0.2","19444"
"Chase De Jong","PIT","6","3","1","42","0","71.2","7.41","3.77","1.26",".222","86.3%","33.5%","10.2%","93.0","2.64","3.89","4.74","4.96","-0.2","15036"
"Dauri Moreta","PIT","0","2","1","35","1","38.1","9.16","3.05","2.35",".234","71.4%","32.7%","19.6%","96.1","5.40","4.02","5.80","4.38","-0.4","21101"
