"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid"
"Yu Darvish","SDP","16","8","0","30","30","194.2","9.11","1.71","1.02",".250","78.2%","36.9%","9.6%","95.0","3.10","3.49","3.31","3.58","4.2","13074"
"Blake Snell","SDP","8","10","0","24","24","128.0","12.02","3.59","0.77",".307","74.7%","36.6%","8.3%","95.7","3.38","3.19","2.80","3.21","3.7","13543"
"Joe Musgrove","SDP","10","7","0","30","30","181.0","9.15","2.09","1.09",".276","79.8%","44.6%","12.3%","92.9","2.93","3.27","3.59","3.47","3.5","12970"
"Luis Garcia","SDP","4","6","3","64","0","61.0","10.03","2.51","0.44",".325","68.2%","53.3%","6.4%","97.3","3.39","2.83","2.60","3.11","1.6","6984"
"Michael Wacha","SDP","11","2","0","23","23","127.1","7.35","2.19","1.27",".260","80.3%","41.0%","12.4%","93.2","3.32","4.56","4.14","3.99","1.5","14078"
"Nabil Crismatt","SDP","5","2","0","50","1","67.1","8.69","2.94","0.67",".280","70.3%","50.5%","9.1%","90.6","2.94","3.49","3.22","3.46","0.8","17732"
"Josh Hader","SDP","2","5","36","56","0","50.0","14.58","3.78","1.44",".333","66.9%","29.2%","15.1%","","5.22","","3.45","2.94","0.8","14212"
"Robert Suarez","SDP","5","1","1","45","0","47.2","11.52","3.97","0.76",".248","84.7%","43.3%","11.1%","97.9","2.27","3.27","3.22","3.24","0.7","30115"
"Tim Hill","SDP","3","0","0","55","0","48.0","4.69","2.63","0.19",".284","69.8%","60.0%","2.8%","91.5","3.56","3.08","3.47","4.31","0.5","16814"
"Nick Martinez","SDP","4","4","8","47","10","106.1","8.04","3.47","1.27",".276","80.8%","47.4%","14.4%","93.5","3.47","3.83","4.43","4.04","0.5","12730"
"Steven Wilson","SDP","4","2","1","50","1","53.0","9.00","3.40","1.19",".221","79.3%","23.5%","8.9%","95.1","3.06","2.83","4.13","4.62","0.3","20353"
"Adrian Morejon","SDP","5","1","0","26","0","34.0","7.41","2.38","1.06",".273","65.0%","32.4%","7.8%","96.7","4.24","3.94","3.88","4.57","0.2","20039"
"Seth Lugo","SDP","3","2","3","62","0","65.0","9.55","2.49","1.25",".283","79.8%","45.6%","13.2%","94.4","3.60","3.46","3.76","3.51","0.2","12447"
"Ryan Weathers","SDP","0","0","0","1","1","3.2","7.36","9.82","0.00",".429","60.0%","50.0%","0.0%","93.9","9.82","3.80","4.75","6.36","0.0","23796"
"Reiss Knehr","SDP","0","0","0","5","1","13.2","6.59","2.63","0.66",".250","73.9%","29.3%","5.6%","93.0","3.95","4.31","4.36","5.35","0.0","21541"
"Jose Castillo","SDP","0","0","0","1","0","1.0","9.00","9.00","0.00",".333","50.0%","66.7%","0.0%","94.6","9.00","12.80","4.11","5.59","0.0","17169"
"Matthew Batten","SDP","0","0","0","2","0","2.0","4.50","0.00","4.50",".167","100.0%","0.0%","16.7%","57.0","4.50","4.00","8.61","6.55","-0.1","20157"
"Ray Kerr","SDP","0","0","0","7","0","5.0","5.40","7.20","1.80",".154","35.7%","21.4%","11.1%","96.1","9.00","12.35","6.91","6.98","-0.1","23809"
