"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid"
"Luis Castillo","SEA","8","6","0","25","25","150.1","10.00","2.69","0.78",".275","75.3%","46.9%","10.0%","97.1","2.99","","3.07","3.23","3.7","15689"
"Logan Gilbert","SEA","13","6","0","32","32","185.2","8.43","2.38","0.92",".292","77.6%","36.7%","9.2%","96.1","3.20","4.11","3.46","3.78","3.2","22250"
"George Kirby","SEA","8","5","0","25","25","130.0","9.21","1.52","0.90",".331","75.1%","45.5%","9.0%","95.4","3.39","3.31","2.99","3.33","3.0","25436"
"Andres Munoz","SEA","2","5","4","64","0","65.0","13.29","2.08","0.69",".297","76.4%","52.6%","11.4%","100.3","2.49","1.84","2.04","2.04","1.9","20373"
"Robbie Ray","SEA","12","12","0","32","32","189.0","10.10","2.95","1.52",".284","81.2%","39.2%","15.5%","93.6","3.71","3.59","4.17","3.58","1.8","11486"
"Penn Murfee","SEA","4","0","0","64","1","69.1","9.87","2.34","0.91",".243","77.3%","34.3%","8.2%","89.0","2.99","2.64","3.10","3.60","0.7","25174"
"Chris Flexen","SEA","8","9","2","33","22","137.2","6.21","3.33","1.11",".271","76.9%","33.8%","8.5%","91.8","3.73","4.62","4.49","5.04","0.7","13896"
"Matt Brash","SEA","4","4","0","39","5","50.2","11.01","5.86","0.53",".352","72.9%","51.6%","9.1%","97.0","4.44","4.53","3.51","3.70","0.6","25756"
"Paul Sewald","SEA","5","4","20","65","0","64.0","10.13","2.39","1.41",".158","82.1%","30.6%","13.3%","92.5","2.67","2.64","3.88","3.58","0.5","13892"
"Diego Castillo","SEA","7","3","7","59","0","54.1","8.78","3.64","0.83",".250","64.9%","46.2%","10.0%","95.8","3.64","2.96","3.68","3.85","0.3","17496"
"Gabe Speier","SEA","0","1","0","17","1","19.1","6.52","2.33","0.93",".250","87.9%","45.6%","8.7%","93.7","2.33","2.76","3.78","4.20","0.1","17170"
"Marco Gonzales","SEA","10","15","0","32","32","183.0","5.07","2.46","1.48",".277","73.7%","42.0%","12.3%","88.7","4.13","4.59","5.05","4.90","0.1","15467"
"Easton McGee","SEA","0","0","0","1","0","3.0","3.00","0.00","0.00",".308","75.0%","23.1%","0.0%","91.5","0.00","3.19","2.45","5.41","0.0","22176"
"Justin Topa","SEA","0","0","0","7","0","7.1","4.91","4.91","0.00",".333","53.8%","66.7%","0.0%","","4.91","3.80","3.66","4.26","0.0","15145"
"Brennan Bernardino","SEA","0","1","0","2","0","2.1","0.00","7.71","0.00",".273","40.0%","50.0%","0.0%","92.6","3.86","1.64","5.68","8.22","0.0","16835"
"Matthew Festa","SEA","2","0","2","53","0","54.0","10.67","3.00","1.67",".264","75.5%","38.6%","16.9%","92.6","4.17","3.72","4.26","3.47","-0.1","19330"
"Trevor Gott","SEA","3","4","0","45","0","45.2","8.67","2.36","1.58",".227","64.4%","43.7%","15.7%","95.3","4.14","2.94","4.45","3.82","-0.1","15046"
"Tayler Saucedo","SEA","0","0","0","4","0","2.2","0.00","3.38","10.13",".273","100.0%","50.0%","60.0%","93.0","13.50","25.00","18.86","7.01","-0.4","17888"
