"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid"
"Logan Webb","SFG","15","9","0","32","32","192.1","7.63","2.29","0.51",".293","71.8%","56.7%","8.3%","92.4","2.90","3.59","3.03","3.31","4.2","17995"
"Alex Cobb","SFG","7","8","0","28","28","149.2","9.08","2.59","0.54",".336","68.0%","61.5%","10.2%","95.3","3.73","3.15","2.80","2.89","3.7","6562"
"Ross Stripling","SFG","10","4","1","32","24","134.1","7.44","1.34","0.80",".269","73.6%","43.8%","7.7%","91.9","3.01","3.57","3.11","3.67","3.1","13273"
"Alex Wood","SFG","8","12","0","26","26","130.2","9.02","2.07","1.17",".315","63.9%","48.2%","14.4%","90.6","5.10","4.00","3.76","3.41","1.7","13781"
"Jakob Junis","SFG","5","7","0","23","17","112.0","7.88","2.01","1.04",".317","70.3%","43.1%","11.2%","92.0","4.42","4.17","3.65","3.67","1.3","13619"
"Camilo Doval","SFG","6","6","27","68","0","67.2","10.64","3.99","0.53",".296","73.7%","56.4%","10.5%","","2.53","2.90","2.98","3.04","1.2","21992"
"Sean Manaea","SFG","8","9","0","30","28","158.0","8.89","2.85","1.65",".291","67.5%","38.2%","14.9%","","4.96","4.05","4.53","3.96","1.1","15873"
"Taylor Rogers","SFG","4","8","31","66","0","64.1","11.75","2.66","0.98",".327","63.5%","42.4%","11.9%","94.3","4.76","","3.31","3.26","1.0","13449"
"John Brebbia","SFG","6","2","0","76","11","68.0","7.15","2.38","0.66",".314","75.9%","36.3%","5.1%","94.3","3.18","3.49","3.32","4.50","0.9","12777"
"Tyler Rogers","SFG","3","4","0","68","0","75.2","5.83","2.74","0.36",".293","69.2%","56.1%","4.9%","83.5","3.57","3.36","3.44","4.12","0.6","15541"
"Scott Alexander","SFG","0","0","2","17","4","17.1","5.19","0.52","0.52",".216","94.8%","74.0%","16.7%","","1.04","2.35","2.88","2.64","0.3","10591"
"Sean Hjelle","SFG","1","2","0","8","0","25.0","10.08","2.88","1.08",".400","60.8%","59.0%","23.1%","91.9","5.76","4.23","3.51","2.72","0.1","21481"
"Luis Gonzalez","SFG","0","0","0","5","0","6.1","0.00","1.42","0.00",".310","60.0%","53.6%","0.0%","84.3","5.68","5.04","3.59","5.22","0.0","20332"
"Anthony DeSclafani","SFG","0","2","0","5","5","19.0","8.05","1.89","1.89",".441","53.9%","43.7%","15.4%","93.0","6.63","5.49","4.85","4.14","0.0","13050"
"Cole Waites","SFG","0","0","0","7","0","5.2","6.35","6.35","1.59",".313","93.0%","41.2%","14.3%","96.0","3.18","4.84","6.11","5.65","-0.1","25665"
"Sammy Long","SFG","1","3","1","28","6","42.1","7.02","2.98","1.70",".248","72.4%","39.2%","13.6%","94.5","3.61","4.28","5.07","4.68","-0.3","25379"
"Thomas Szapucki","SFG","0","1","0","11","1","15.0","10.80","4.20","3.60",".361","79.5%","28.6%","30.0%","95.1","7.20","","7.31","4.09","-0.3","21065"
