"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid"
"Adam Wainwright","STL","11","12","0","32","32","191.2","6.71","2.54","0.75",".302","75.0%","43.2%","8.1%","88.1","3.71","4.53","3.66","4.10","2.8","2233"
"Miles Mikolas","STL","12","13","0","33","32","202.1","6.81","1.73","1.11",".249","74.4%","45.0%","11.9%","93.6","3.29","3.89","3.87","3.80","2.8","9803"
"Jordan Montgomery","STL","9","6","0","32","32","178.1","7.97","1.82","1.06",".275","75.5%","47.6%","13.0%","93.1","3.48","","3.61","3.43","2.7","16511"
"Ryan Helsley","STL","9","1","19","54","0","64.2","13.08","2.78","0.84",".185","93.4%","34.7%","9.4%","99.7","1.25","2.04","2.34","2.60","2.0","18138"
"Giovanny Gallegos","STL","3","6","14","57","0","59.0","11.14","2.75","0.92",".261","71.7%","27.5%","7.7%","94.5","3.05","2.92","2.88","3.51","1.3","14986"
"Dakota Hudson","STL","8","7","0","27","26","139.2","5.03","3.93","0.58",".301","70.6%","53.0%","7.2%","91.6","4.45","5.01","4.34","4.82","1.0","19206"
"Chris Stratton","STL","10","4","2","60","1","63.1","8.53","3.55","0.57",".362","69.6%","44.2%","6.1%","92.9","4.26","","3.32","4.04","0.7","13761"
"Steven Matz","STL","5","3","0","15","10","48.0","10.13","1.88","1.50",".316","66.9%","38.3%","16.0%","","5.25","3.64","3.78","3.15","0.7","13361"
"Jake Woodford","STL","4","0","0","27","1","48.1","4.47","2.05","0.19",".278","78.4%","52.0%","2.3%","92.6","2.23","4.00","3.13","4.18","0.6","18674"
"Andre Pallante","STL","6","5","0","47","10","108.0","6.08","3.33","0.75",".311","81.3%","63.9%","15.3%","95.3","3.17","3.78","3.98","3.71","0.6","26108"
"Packy Naughton","STL","0","2","1","26","3","32.0","8.72","1.97","0.84",".364","70.1%","49.5%","9.7%","92.9","4.78","3.75","3.14","3.36","0.4","23292"
"Jordan Hicks","STL","3","6","0","35","8","61.1","9.24","5.14","0.73",".268","67.9%","57.6%","13.2%","98.0","4.84","3.91","4.17","4.03","0.3","19618"
"Zack Thompson","STL","1","1","1","22","1","34.2","7.01","3.63","0.78",".185","83.9%","53.7%","10.7%","94.8","2.08","3.72","3.89","3.96","0.1","25918"
"Jake Walsh","STL","0","1","0","3","0","2.2","16.88","6.75","0.00",".429","33.3%","42.9%","0.0%","95.2","13.50","4.81","2.74","4.40","0.0","20227"
"Matthew Liberatore","STL","2","2","0","9","7","34.2","7.27","4.67","1.30",".339","70.4%","38.4%","11.9%","93.8","5.97","5.49","5.02","4.93","0.0","22294"
"Anthony Misiewicz","STL","1","2","0","32","0","29.0","8.38","3.10","1.24",".288","70.1%","37.3%","10.5%","93.6","4.34","","4.08","4.22","0.0","18152"
"Andrew Knizner","STL","0","0","0","1","0","0.2","0.00","0.00","0.00",".333","100.0%","33.3%","0.0%","68.4","0.00","7.18","3.11","5.33","0.0","19514"
"Jack Flaherty","STL","2","1","0","9","8","36.0","8.25","5.50","1.00",".311","78.4%","41.7%","11.8%","93.4","4.25","4.94","4.97","4.93","0.0","17479"
"JoJo Romero","STL","0","0","0","17","0","16.1","9.37","5.51","1.65",".270","74.5%","60.5%","33.3%","95.6","4.96","","5.26","3.68","-0.2","19574"
"Drew VerHagen","STL","3","1","0","19","0","21.2","7.48","5.82","2.08",".324","68.6%","33.8%","17.2%","95.1","6.65","6.29","6.53","5.51","-0.6","13424"
"Genesis Cabrera","STL","4","2","1","39","0","44.2","6.45","4.03","1.61",".238","75.3%","44.2%","16.7%","96.2","4.63","4.94","5.62","4.88","-0.8","17490"
