"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid"
"Shane McClanahan","TBR","12","8","0","28","28","166.1","10.50","2.06","1.03",".251","80.5%","50.2%","15.7%","97.0","2.54","2.79","3.00","2.60","3.5","21483"
"Jeffrey Springs","TBR","9","5","0","33","25","135.1","9.58","2.06","0.93",".279","82.3%","40.9%","9.6%","91.7","2.46","3.27","3.04","3.29","3.0","17677"
"Drew Rasmussen","TBR","11","7","0","28","28","146.0","7.71","1.91","0.80",".262","76.0%","46.6%","9.0%","95.7","2.84","3.46","3.26","3.56","2.9","25385"
"Zach Eflin","TBR","3","5","1","20","13","75.2","7.73","1.78","0.95",".282","66.0%","44.5%","9.6%","93.3","4.04","3.27","3.56","3.81","1.4","13774"
"Jason Adam","TBR","2","3","8","67","0","63.1","10.66","2.42","0.71",".194","89.4%","45.7%","8.8%","95.1","1.56","2.09","2.86","3.17","1.3","11861"
"Pete Fairbanks","TBR","0","0","8","24","0","24.0","14.25","1.13","0.38",".267","89.0%","53.3%","7.7%","99.2","1.13","1.03","0.86","1.12","1.2","17998"
"Jalen Beeks","TBR","2","3","2","42","7","61.0","10.33","3.25","1.03",".282","80.7%","45.8%","13.5%","95.3","2.80","3.70","3.49","3.26","0.6","17192"
"Shawn Armstrong","TBR","2","3","2","50","3","61.2","9.63","2.48","1.02",".337","71.2%","47.5%","11.5%","95.5","4.38","","3.47","3.46","0.5","12857"
"Garrett Cleavinger","TBR","1","1","0","17","0","23.0","12.52","2.74","0.78",".240","52.1%","37.3%","9.5%","96.3","3.91","","2.50","2.72","0.4","17897"
"Ryan Thompson","TBR","3","3","3","47","0","42.2","8.23","2.32","0.84",".280","60.3%","51.2%","10.3%","91.9","3.80","3.05","3.42","3.55","0.4","16647"
"Yonny Chirinos","TBR","1","0","0","2","1","7.0","7.71","1.29","0.00",".318","100.0%","72.7%","0.0%","92.3","0.00","3.01","2.26","3.10","0.2","16401"
"Tyler Glasnow","TBR","0","0","0","2","2","6.2","13.50","2.70","1.35",".231","100.0%","35.7%","14.3%","97.6","1.35","5.75","2.96","2.57","0.1","14374"
"Shane Baz","TBR","1","2","0","6","6","27.0","10.00","3.00","1.67",".306","73.3%","42.9%","19.2%","96.0","5.00","4.23","4.41","3.43","0.1","22264"
"Christian Bethancourt","TBR","0","0","0","4","0","4.0","2.25","2.25","2.25",".313","100.0%","23.5%","8.3%","74.0","2.25","","6.61","7.80","0.0","10028"
"Josh Fleming","TBR","2","5","0","10","3","35.0","7.46","3.09","1.29",".402","51.7%","63.8%","20.8%","92.6","6.43","4.37","4.43","3.58","-0.1","20418"
"Andrew Kittredge","TBR","3","1","5","17","0","20.0","6.30","0.90","1.80",".200","87.7%","45.8%","16.7%","96.5","3.15","2.94","4.61","3.79","-0.2","12828"
"Colin Poche","TBR","4","2","7","65","0","58.2","9.82","3.38","1.69",".238","72.8%","31.8%","14.3%","93.5","3.99","3.51","4.54","4.05","-0.2","19403"
"Calvin Faucher","TBR","2","3","1","22","0","21.1","8.86","4.22","1.69",".338","66.9%","40.6%","16.7%","95.5","5.48","6.01","5.13","4.36","-0.3","20116"
"Luis Patino","TBR","1","2","0","6","6","20.0","4.95","5.85","2.70",".299","69.6%","37.5%","16.2%","94.9","8.10","5.21","8.01","6.85","-0.6","22815"
