"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid"
"Martin Perez","TEX","12","8","0","32","32","196.1","7.75","3.16","0.50",".295","77.0%","51.4%","6.5%","92.9","2.89","3.59","3.27","3.80","3.8","6902"
"Jacob deGrom","TEX","5","4","0","11","11","64.1","14.27","1.12","1.26",".258","73.4%","39.4%","17.0%","98.9","3.08","2.24","2.13","1.53","2.2","10954"
"Jon Gray","TEX","7","7","0","24","24","127.1","9.47","2.76","1.20",".271","70.5%","44.1%","14.2%","96.0","3.96","3.59","3.80","3.46","1.8","14916"
"Jake Odorizzi","TEX","6","6","0","22","22","106.1","7.28","2.96","1.18",".292","69.1%","31.7%","9.2%","92.2","4.40","","4.28","4.70","1.3","6397"
"Andrew Heaney","TEX","4","4","0","16","14","72.2","13.62","2.35","1.73",".291","78.9%","34.5%","17.9%","93.0","3.10","3.39","3.75","2.83","1.1","15423"
"Nathan Eovaldi","TEX","6","3","0","20","20","109.1","8.48","1.65","1.73",".298","76.0%","47.0%","17.2%","95.9","3.87","4.31","4.30","3.46","1.0","9132"
"Brock Burke","TEX","7","5","0","52","0","82.1","9.84","2.62","0.98",".266","83.8%","39.6%","10.0%","95.1","1.97","3.31","3.29","3.49","0.9","17968"
"Taylor Hearn","TEX","6","8","1","31","13","100.0","8.73","3.87","0.99",".325","67.6%","37.6%","9.9%","94.8","5.13","4.81","3.98","4.20","0.9","18325"
"Dane Dunning","TEX","4","8","0","29","29","153.1","8.04","3.64","1.17",".313","74.4%","53.3%","15.2%","89.0","4.46","4.49","4.45","4.03","0.9","19409"
"Jose Leclerc","TEX","0","3","7","39","0","47.2","10.20","3.97","0.94",".243","80.0%","29.2%","7.7%","96.4","2.83","3.17","3.72","4.38","0.5","14524"
"Cole Ragans","TEX","0","3","0","9","9","40.0","6.08","3.60","1.35",".296","69.2%","36.2%","11.8%","92.1","4.95","4.78","4.91","4.85","0.2","21846"
"Josh Sborz","TEX","1","0","0","19","1","22.1","12.90","4.43","1.61",".396","65.8%","29.8%","17.4%","97.0","6.45","4.97","4.05","3.25","0.1","18323"
"Yerry Rodriguez","TEX","0","0","0","1","0","1.0","9.00","0.00","0.00",".333","100.0%","66.7%","0.0%","98.1","0.00","2.32","1.11","2.59","0.0","21955"
"Jonathan Hernandez","TEX","2","3","4","29","0","30.1","8.01","5.04","0.59",".286","72.8%","62.4%","11.1%","96.2","2.97","4.08","3.97","3.99","0.0","17464"
"Glenn Otto","TEX","7","10","0","27","27","135.2","7.10","4.11","1.39",".255","72.9%","43.1%","14.1%","92.5","4.64","5.01","5.21","4.82","0.0","21366"
"John King","TEX","1","4","0","39","0","51.1","5.26","2.45","0.88",".326","71.0%","64.6%","17.2%","","4.03","4.20","4.09","3.66","0.0","22051"
"Will Smith","TEX","0","3","5","65","0","59.0","9.92","3.81","1.37",".306","69.1%","35.2%","12.2%","92.1","3.97","","4.26","4.14","-0.1","8048"
"Joe Barlow","TEX","3","1","13","35","0","35.0","7.20","3.34","1.29",".229","70.3%","37.0%","11.1%","94.7","3.86","5.28","4.83","4.87","-0.3","22296"
"Spencer Howard","TEX","2","4","0","10","8","37.2","7.65","3.58","2.87",".319","67.1%","39.2%","22.2%","94.4","7.41","5.53","6.83","4.81","-0.7","23252"
