"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid"
"Kevin Gausman","TOR","12","10","0","31","31","174.2","10.56","1.44","0.77",".363","74.0%","39.2%","8.5%","94.9","3.35","3.34","2.38","2.75","5.7","14107"
"Alek Manoah","TOR","16","7","0","31","31","196.2","8.24","2.33","0.73",".244","82.6%","37.5%","7.1%","93.9","2.24","3.31","3.35","3.97","4.1","26410"
"Chris Bassitt","TOR","15","9","0","30","30","181.2","8.27","2.43","0.94",".282","77.2%","48.8%","10.9%","93.3","3.42","3.46","3.66","3.72","2.7","12304"
"Erik Swanson","TOR","3","2","3","57","1","53.2","11.74","1.68","0.50",".295","85.2%","32.5%","5.2%","93.7","1.68","2.30","1.85","2.72","1.7","16587"
"Jordan Romano","TOR","5","4","36","63","0","64.0","10.27","2.95","0.56",".256","80.4%","43.7%","6.5%","96.9","2.11","3.31","2.82","3.44","1.6","16122"
"Anthony Bass","TOR","4","3","0","73","0","70.1","9.34","2.56","0.77",".256","89.5%","41.2%","8.7%","95.0","1.54","","3.00","3.34","1.3","7982"
"Mitch White","TOR","1","7","0","25","18","99.0","7.09","3.18","0.82",".321","63.5%","43.0%","7.8%","93.7","5.45","","3.87","4.42","1.3","19225"
"Jose Berrios","TOR","12","7","0","32","32","172.0","7.80","2.35","1.52",".328","70.9%","40.3%","13.5%","94.0","5.23","5.11","4.55","4.21","1.1","14168"
"Adam Cimber","TOR","10","6","4","77","0","70.2","7.39","1.66","0.76",".288","75.1%","41.8%","8.3%","86.4","2.80","3.64","3.47","3.87","0.9","15288"
"Yimi Garcia","TOR","4","5","1","61","0","61.0","8.56","2.36","0.89",".258","70.5%","39.6%","7.7%","94.9","3.10","2.90","3.47","4.09","0.9","12095"
"Zach Pop","TOR","4","0","0","35","0","39.0","5.77","0.92","0.46",".315","76.9%","56.8%","6.7%","","2.77","","2.96","3.43","0.5","20185"
"Chad Green","TOR","1","1","1","14","0","15.0","9.60","3.00","0.60",".300","72.3%","25.0%","4.5%","94.8","3.00","3.24","2.85","4.15","0.3","15552"
"Zach Thompson","TOR","3","10","0","29","22","121.2","6.66","3.40","1.41",".309","69.2%","45.3%","14.5%","92.4","5.18","5.14","4.87","4.44","0.2","16094"
"Trevor Richards","TOR","3","2","0","62","4","64.0","11.53","4.92","1.27",".312","64.7%","34.0%","11.8%","93.4","5.34","4.62","4.07","4.00","0.2","19309"
"Hyun-Jin Ryu","TOR","2","0","0","6","6","27.0","5.33","1.33","1.67",".307","65.5%","45.7%","14.7%","89.4","5.67","5.24","4.78","4.24","0.1","14444"
"Tim Mayza","TOR","8","1","2","63","0","48.2","8.14","2.22","1.29",".271","79.6%","57.9%","25.9%","93.7","3.14","4.17","3.98","2.93","0.1","15042"
"Trent Thornton","TOR","0","2","0","32","0","46.0","7.24","3.33","1.37",".260","76.8%","34.3%","12.5%","93.8","4.11","5.17","4.66","4.48","-0.1","17948"
"Whit Merrifield","TOR","0","0","0","1","0","1.0","0.00","0.00","9.00",".250","62.5%","40.0%","33.3%","59.8","18.00","23.63","19.11","10.55","-0.1","11281"
"Thomas Hatch","TOR","0","1","0","1","1","4.2","7.71","3.86","5.79",".563","46.3%","52.6%","75.0%","94.5","19.29","10.31","11.68","4.60","-0.3","19264"
"Yusei Kikuchi","TOR","6","7","1","32","20","100.2","11.09","5.19","2.06",".292","72.8%","43.9%","23.7%","94.9","5.19","5.63","5.62","4.07","-0.7","20633"
