"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid"
"Hunter Harvey","WSN","2","1","0","38","0","39.1","10.30","2.75","0.23",".323","75.7%","39.0%","2.3%","98.3","2.52","2.76","2.07","3.40","1.0","15507"
"Patrick Corbin","WSN","6","19","0","31","31","152.2","7.55","2.89","1.59",".365","64.4%","44.2%","15.6%","92.1","6.31","6.41","4.84","4.21","0.8","9323"
"MacKenzie Gore","WSN","4","4","0","16","13","70.0","9.26","4.76","0.90",".312","74.1%","37.6%","9.2%","94.8","4.50","5.21","4.11","4.42","0.8","22201"
"Kyle Finnegan","WSN","6","4","11","66","0","66.2","9.45","2.97","1.22",".269","75.7%","48.3%","16.4%","97.0","3.51","3.29","3.76","3.22","0.6","15009"
"Trevor Williams","WSN","3","5","1","30","9","89.2","8.43","2.31","1.20",".301","82.3%","36.2%","11.0%","91.2","3.21","3.67","3.88","3.94","0.6","16977"
"Erasmo Ramirez","WSN","4","2","0","60","2","86.1","6.36","1.46","1.15",".267","81.3%","45.2%","12.2%","93.9","2.92","3.49","4.05","3.94","0.4","10314"
"Victor Arano","WSN","1","1","1","43","0","42.0","9.43","2.57","1.07",".344","58.9%","51.6%","13.5%","94.4","4.50","3.62","3.71","3.46","0.3","15915"
"Tanner Rainey","WSN","1","3","12","29","0","30.0","10.80","3.90","1.50",".284","71.9%","31.6%","12.5%","97.0","3.30","3.97","4.18","3.99","0.3","17610"
"Carl Edwards Jr.","WSN","6","3","2","57","0","62.0","8.13","3.63","1.16",".259","83.6%","47.7%","12.5%","94.6","2.76","3.31","4.24","4.09","0.1","13607"
"Jordan Weems","WSN","0","1","0","32","0","39.2","9.30","2.72","1.59",".264","61.8%","33.9%","13.0%","96.8","5.22","3.39","4.25","3.97","0.1","13190"
"Cade Cavalli","WSN","0","1","0","1","1","4.1","12.46","4.15","0.00",".500","36.4%","50.0%","0.0%","95.5","14.54","3.86","3.80","5.51","0.1","27473"
"Mason Thompson","WSN","1","1","1","24","0","24.2","5.47","3.28","0.73",".230","80.2%","53.3%","8.3%","95.6","2.92","3.72","4.17","4.55","0.1","21850"
"Stephen Strasburg","WSN","0","1","0","1","1","4.2","9.64","3.86","1.93",".500","41.7%","38.5%","20.0%","90.2","13.50","4.78","5.68","4.48","0.0","10131"
"Ildemaro Vargas","WSN","0","0","0","1","0","1.0","0.00","0.00","0.00",".000","100.0%","66.7%","0.0%","74.0","0.00","1.77","3.11","4.59","0.0","13324"
"Corey Dickerson","WSN","0","0","0","1","0","1.0","0.00","9.00","0.00",".400","100.0%","20.0%","0.0%","69.9","0.00","8.48","6.11","7.59","0.0","10762"
"Paolo Espino","WSN","0","9","0","42","19","113.1","7.31","1.91","1.91",".310","75.4%","39.1%","16.0%","88.5","4.84","4.78","4.93","4.14","-0.1","8246"
"Cory Abbott","WSN","0","5","0","16","9","48.0","8.44","4.69","2.25",".248","76.9%","27.9%","14.3%","91.4","5.25","4.43","6.36","5.70","-0.5","20277"
"Josiah Gray","WSN","7","10","0","28","28","148.2","9.32","4.00","2.30",".256","80.4%","33.0%","18.6%","94.4","5.02","4.25","5.86","4.57","-0.6","24580"
