Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Friday Apr 8,boxscore,DET,,CHW,W-wo,5,4,,1-0,1,Tied,Soto,Hendriks,,3:30,D,43480,1.00,+,
2,Saturday Apr 9,boxscore,DET,,CHW,L,2,5,,1-1,2,1.0,Cease,Mize,Bummer,3:11,D,17469,1.01,-,
3,Sunday Apr 10,boxscore,DET,,CHW,L,1,10,,1-2,3,1.0,Crick,Skubal,,2:56,D,15712,1.03,--,
4,Monday Apr 11,boxscore,DET,,BOS,W,3,1,,2-2,2,0.5,Fulmer,Davis,Soto,2:50,N,11840,.88,+,
5,Tuesday Apr 12,boxscore,DET,,BOS,L,3,5,,2-3,3,1.5,Whitlock,Lange,,2:49,D,15781,.97,-,
6,Wednesday Apr 13,boxscore,DET,,BOS,L,7,9,,2-4,4,2.5,Eovaldi,Rodriguez,Robles,3:51,D,10522,.89,--,
7,Thursday Apr 14,boxscore,DET,@,KCR,W,4,2,,3-4,3,1.5,Jiménez,Brentz,Soto,3:10,N,9595,.90,+,
8,Friday Apr 15,boxscore,DET,@,KCR,W,2,1,,4-4,3,1.5,Barnes,Keller,Fulmer,2:18,N,16720,.93,++,
9,Saturday Apr 16,boxscore,DET,@,KCR,L,1,3,,4-5,3,2.5,Snider,Vest,Staumont,3:02,D,19022,.98,-,
10,Tuesday Apr 19,boxscore,DET,,NYY,L,2,4,,4-6,4,2.5,Schmidt,Alexander,Chapman,3:59,N,15498,.96,--,
11,Wednesday Apr 20,boxscore,DET,,NYY,L,3,5,,4-7,4,2.0,Green,Hutchison,Chapman,3:06,N,17268,.86,---,
12,Thursday Apr 21,boxscore,DET,,NYY,W,3,0,,5-7,4,2.0,Pineda,Montgomery,Soto,2:34,D,21529,.84,+,
13,Saturday Apr 23 (1),boxscore,DET,,COL,W,13,0,,6-7,3,1.0,Skubal,Senzatela,,3:02,D,37566,.82,++,
14,Saturday Apr 23 (2),boxscore,DET,,COL,L,2,3,,6-8,3,1.0,Gomber,Brieske,Colomé,2:47,N,28635,.84,-,
15,Sunday Apr 24,boxscore,DET,,COL,L,2,6,,6-9,3,1.5,Kuhl,Alexander,,2:55,D,20088,.84,--,
16,Tuesday Apr 26,boxscore,DET,@,MIN,L-wo,4,5,,6-10,4,2.5,Jax,Soto,,3:05,N,11803,.89,---,
17,Wednesday Apr 27,boxscore,DET,@,MIN,L,0,5,,6-11,5,3.5,Ryan,Pineda,,2:23,N,11829,.86,----,
18,Thursday Apr 28,boxscore,DET,@,MIN,L,1,7,,6-12,5,4.5,Stashak,Skubal,Jax,3:09,D,19365,.76,-----,
