Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Thursday Apr 7,boxscore,KCR,,CLE,W,3,1,,1-0,1,up 0.5,Barlow,McKenzie,,2:49,D,28459,1.01,+,
2,Saturday Apr 9,boxscore,KCR,,CLE,W-wo,1,0,10,2-0,1,up 1.0,Snider,Clase,,2:49,D,17103,1.04,++,
3,Sunday Apr 10,boxscore,KCR,,CLE,L,3,17,,2-1,1,Tied,Quantrill,Bubic,,3:09,D,20165,1.07,-,
4,Monday Apr 11,boxscore,KCR,,CLE,L,7,10,,2-2,2,0.5,Allen,Brentz,,3:37,D,8971,1.00,--,
5,Tuesday Apr 12,boxscore,KCR,@,STL,L,5,6,,2-3,3,1.5,Hicks,Lynch,Gallegos,2:36,N,40398,.88,---,
6,Thursday Apr 14,boxscore,KCR,,DET,L,2,4,,2-4,4,2.0,Jiménez,Brentz,Soto,3:10,N,9595,.93,----,
7,Friday Apr 15,boxscore,KCR,,DET,L,1,2,,2-5,5,3.0,Barnes,Keller,Fulmer,2:18,N,16720,.89,-----,
8,Saturday Apr 16,boxscore,KCR,,DET,W,3,1,,3-5,4,3.0,Snider,Vest,Staumont,3:02,D,19022,.84,+,
9,Tuesday Apr 19,boxscore,KCR,,MIN,W,4,3,,4-5,2,2.0,Garrett,Duffey,Staumont,3:06,N,10003,.86,++,
10,Wednesday Apr 20,boxscore,KCR,,MIN,W,2,0,,5-5,3,0.5,Lynch,Paddack,Barlow,2:29,N,8969,.94,+++,
11,Thursday Apr 21,boxscore,KCR,,MIN,L,0,1,,5-6,3,1.5,Ryan,Greinke,Pagán,2:43,D,15540,.99,-,
12,Friday Apr 22,boxscore,KCR,@,SEA,L,1,4,,5-7,3,1.5,Flexen,Keller,Muñoz,2:42,N,24206,.94,--,
13,Saturday Apr 23,boxscore,KCR,@,SEA,L,7,13,,5-8,5,1.5,Castillo,Brentz,,4:06,N,28583,.87,---,
14,Sunday Apr 24,boxscore,KCR,@,SEA,L-wo,4,5,12,5-9,5,2.0,Ramirez,Payamps,,4:12,D,28548,.82,----,
15,Tuesday Apr 26,boxscore,KCR,@,CHW,W,6,0,,6-9,2,2.0,Lynch,Keuchel,,3:20,N,12031,.82,+,
16,Wednesday Apr 27,boxscore,KCR,@,CHW,L,3,7,,6-10,3,3.0,Sousa,Snider,Graveman,2:42,D,12363,.87,-,
17,Thursday Apr 28,boxscore,KCR,@,CHW,W,5,2,10,7-10,2,3.0,Barlow,Bummer,Clarke,3:20,D,11242,.80,+,
18,Friday Apr 29,boxscore,KCR,,NYY,L,2,12,8,7-11,2,3.0,Cortes,Bubic,,2:58,N,16460,.88,-,
19,Saturday Apr 30,boxscore,KCR,,NYY,L,0,3,,7-12,4,4.0,Cole,Hernández,Chapman,3:08,N,23965,.81,--,
20,Sunday May 1,boxscore,KCR,,NYY,L,4,6,,7-13,4,5.0,Schmidt,Coleman,Chapman,3:23,D,19706,.72,---,
21,Monday May 2,boxscore,KCR,@,STL,L,0,1,,7-14,4,6.0,Matz,Greinke,Gallegos,2:40,D,33963,.65,----,
22,Tuesday May 3,boxscore,KCR,,STL,W,7,1,,8-14,4,6.0,Keller,Hudson,,2:47,N,18788,.57,+,
23,Wednesday May 4,boxscore,KCR,,STL,L,0,10,,8-15,4,6.0,Wainwright,Bubic,,3:02,D,12774,.65,-,
24,Sunday May 8 (1),boxscore,KCR,@,BAL,W,6,4,,9-15,4,7.0,Clarke,López,Barlow,3:17,D,,.57,+,
25,Sunday May 8 (2),boxscore,KCR,@,BAL,L,2,4,,9-16,4,7.0,Zimmermann,Lynch,Tate,2:43,D,19893,.62,-,
26,Monday May 9,boxscore,KCR,@,BAL,L,1,6,,9-17,4,7.5,Wells,Hernández,,2:53,D,9438,.56,--,
27,Tuesday May 10,boxscore,KCR,@,TEX,L,4,6,,9-18,4,7.5,Pérez,Keller,Barlow,3:01,N,15407,.53,---,
28,Wednesday May 11,boxscore,KCR,@,TEX,W,8,2,,10-18,4,6.5,Payamps,Allard,,2:55,N,15561,.50,+,
29,Thursday May 12,boxscore,KCR,@,TEX,L,1,3,,10-19,4,6.5,Hearn,Heasley,Barlow,2:52,N,14994,.54,-,
30,Friday May 13,boxscore,KCR,@,COL,W,14,10,,11-19,4,6.5,Coleman,Freeland,Barlow,3:53,N,35176,.47,+,
31,Saturday May 14,boxscore,KCR,@,COL,L,4,10,,11-20,4,6.5,Márquez,Hernández,,2:39,N,40534,.52,-,
32,Sunday May 15,boxscore,KCR,@,COL,W,8,7,,12-20,4,6.5,Staumont,Bard,Barlow,3:23,D,34505,.49,+,
33,Monday May 16,boxscore,KCR,,CHW,L,3,5,10,12-21,4,7.5,Burr,Barlow,Hendriks,3:05,N,12441,.57,-,
34,Tuesday May 17 (1),boxscore,KCR,,CHW,L,0,3,,12-22,4,7.0,Cease,Heasley,Hendriks,3:10,D,9168,.51,--,
35,Tuesday May 17 (2),boxscore,KCR,,CHW,W,2,1,,13-22,4,7.0,Singer,Martin,Staumont,2:35,N,11684,.46,+,
36,Wednesday May 18,boxscore,KCR,,CHW,W,6,2,,14-22,4,7.0,Snider,López,,3:11,N,13504,.51,++,
37,Thursday May 19,boxscore,KCR,,CHW,L,4,7,,14-23,4,7.5,Sousa,Speier,Hendriks,3:47,D,11784,.55,-,
38,Friday May 20,boxscore,KCR,,MIN,L,4,6,,14-24,4,8.5,Smeltzer,Lynch,Pagán,3:22,N,25337,.51,--,
39,Saturday May 21,boxscore,KCR,,MIN,L,2,9,,14-25,4,9.5,Ryan,Keller,,2:54,N,17893,.47,---,
40,Sunday May 22,boxscore,KCR,,MIN,L,6,7,,14-26,4,10.5,Duffey,Staumont,Duran,3:37,D,15482,.40,----,
41,Monday May 23,boxscore,KCR,@,ARI,L,5,9,,14-27,4,11.5,Wendelken,Greinke,,3:36,N,14629,.28,-----,
42,Tuesday May 24,boxscore,KCR,@,ARI,L,6,8,,14-28,4,12.5,Ramirez,Clarke,Melancon,3:09,N,12616,.24,------,
43,Thursday May 26,boxscore,KCR,@,MIN,W,3,2,,15-28,5,11.0,Staumont,Duffey,Barlow,3:05,N,17657,.24,+,
44,Friday May 27,boxscore,KCR,@,MIN,L,7,10,,15-29,5,12.0,Megill,Keller,Pagán,3:40,N,21841,.32,-,
45,Saturday May 28,boxscore,KCR,@,MIN,W,7,3,,16-29,4,11.0,Singer,Archer,,3:12,D,22249,.27,+,
46,Sunday May 29,boxscore,KCR,@,MIN,L,3,7,,16-30,5,12.0,Gray,Greinke,,3:05,D,27195,.32,-,
47,Monday May 30,boxscore,KCR,@,CLE,L,3,7,,16-31,5,12.0,Sandlin,Snider,,2:49,N,15271,.23,--,
48,Tuesday May 31,boxscore,KCR,@,CLE,L,3,8,,16-32,5,12.5,Quantrill,Lynch,,2:50,N,10519,.19,---,
49,Wednesday Jun 1,boxscore,KCR,@,CLE,L,0,4,,16-33,5,12.5,Pilkington,Keller,,2:48,D,12895,.19,----,
50,Friday Jun 3,boxscore,KCR,,HOU,L,3,10,,16-34,5,13.0,Urquidy,Singer,,2:48,N,22516,.14,-----,
51,Saturday Jun 4,boxscore,KCR,,HOU,W,6,0,,17-34,5,12.0,Snider,Garcia,,3:10,D,14686,.12,+,
52,Sunday Jun 5,boxscore,KCR,,HOU,L,4,7,,17-35,5,13.0,Valdez,Heasley,Montero,3:30,D,12776,.15,-,
53,Monday Jun 6,boxscore,KCR,,TOR,L,0,8,,17-36,5,13.5,Stripling,Lynch,,2:50,N,10889,.11,--,
54,Tuesday Jun 7,boxscore,KCR,,TOR,L,0,7,,17-37,5,13.5,Manoah,Keller,,3:09,N,15103,.10,---,
55,Wednesday Jun 8,boxscore,KCR,,TOR,W,8,4,,18-37,5,13.5,Singer,Richards,,3:26,D,12196,.07,+,
56,Thursday Jun 9,boxscore,KCR,,BAL,W,7,5,,19-37,5,12.5,Payamps,Lyles,Barlow,3:17,N,15594,.09,++,
