Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Thursday Apr 7,boxscore,MIL,@,CHC,L,4,5,,0-1,4,1.0,Givens,Ashby,Robertson,3:18,D,35112,.98,-,
2,Saturday Apr 9,boxscore,MIL,@,CHC,L,0,9,,0-2,4,2.0,Steele,Woodruff,,3:28,D,30369,.95,--,
3,Sunday Apr 10,boxscore,MIL,@,CHC,W,5,4,,1-2,4,1.0,Cousins,Norris,Hader,3:03,D,32858,.92,+,
4,Monday Apr 11,boxscore,MIL,@,BAL,L,0,2,,1-3,5,1.5,Baumann,Houser,López,3:24,D,44461,.87,-,
5,Tuesday Apr 12,boxscore,MIL,@,BAL,W,5,4,,2-3,3,1.5,Milner,Bautista,Hader,3:38,N,11814,.82,+,
6,Wednesday Apr 13,boxscore,MIL,@,BAL,W,4,2,,3-3,3,1.0,Boxberger,López,Hader,3:04,N,12704,.83,++,
7,Thursday Apr 14,boxscore,MIL,,STL,W,5,1,,4-3,2,0.5,Woodruff,Wainwright,,3:04,D,42794,1.05,+++,
8,Friday Apr 15,boxscore,MIL,,STL,L,1,10,,4-4,3,1.0,Mikolas,Peralta,,3:10,N,26874,1.04,-,
9,Saturday Apr 16,boxscore,MIL,,STL,L,1,2,,4-5,4,2.0,Matz,Houser,Gallegos,2:55,N,26356,1.01,--,
10,Sunday Apr 17,boxscore,MIL,,STL,W,6,5,,5-5,4,1.0,Cousins,Hudson,Hader,3:51,D,23001,.99,+,
11,Monday Apr 18,boxscore,MIL,,PIT,W,6,1,,6-5,3,0.5,Lauer,Thompson,,2:44,N,21512,1.02,++,
12,Tuesday Apr 19,boxscore,MIL,,PIT,W,5,2,,7-5,2,0.5,Burnes,Brubaker,Hader,2:29,N,22747,1.03,+++,
13,Wednesday Apr 20,boxscore,MIL,,PIT,W,4,2,,8-5,2,0.5,Woodruff,Keller,Hader,2:55,D,20790,1.08,++++,
14,Friday Apr 22,boxscore,MIL,@,PHI,L,2,4,,8-6,2,1.0,Nelson,Ashby,Knebel,3:20,N,29285,1.06,-,
15,Saturday Apr 23,boxscore,MIL,@,PHI,W,5,3,,9-6,2,1.0,Houser,Wheeler,Hader,2:57,D,30612,1.04,+,
16,Sunday Apr 24,boxscore,MIL,@,PHI,W,1,0,,10-6,1,Tied,Williams,Knebel,Hader,2:49,N,26175,1.08,++,
17,Monday Apr 25,boxscore,MIL,,SFG,L,2,4,,10-7,1,Tied,McGee,Cousins,Doval,3:01,N,21186,1.11,-,
18,Tuesday Apr 26,boxscore,MIL,@,PIT,W,12,8,,11-7,1,up 1.0,Suter,Fletcher,Hader,3:29,N,8493,1.15,+,
19,Wednesday Apr 27,boxscore,MIL,@,PIT,W,3,1,,12-7,1,up 1.0,Gott,Crowe,Hader,3:01,N,8331,1.23,++,
20,Thursday Apr 28,boxscore,MIL,@,PIT,W,3,2,,13-7,1,up 1.0,Milner,Stratton,Williams,3:08,D,8332,1.21,+++,
21,Friday Apr 29,boxscore,MIL,,CHC,W,11,1,,14-7,1,up 2.0,Houser,Hendricks,,3:15,N,29062,1.21,++++,
22,Saturday Apr 30,boxscore,MIL,,CHC,W,9,1,,15-7,1,up 3.0,Lauer,Steele,,3:03,N,37263,1.22,+++++,
23,Sunday May 1,boxscore,MIL,,CHC,L,0,2,,15-8,1,up 2.0,Stroman,Burnes,Robertson,2:43,D,35137,1.26,-,
24,Tuesday May 3,boxscore,MIL,,CIN,W,6,3,,16-8,1,up 2.5,Woodruff,Mahle,Williams,3:10,N,21961,1.16,+,
25,Wednesday May 4,boxscore,MIL,,CIN,W,18,4,,17-8,1,up 2.5,Peralta,Gutiérrez,,3:46,N,25413,1.19,++,
26,Thursday May 5,boxscore,MIL,,CIN,W,10,5,,18-8,1,up 2.5,Houser,Greene,,3:05,D,21715,1.21,+++,
27,Friday May 6,boxscore,MIL,@,ATL,W,6,3,,19-8,1,up 2.5,Lauer,McHugh,Hader,3:15,N,36307,1.23,++++,
28,Saturday May 7,boxscore,MIL,@,ATL,L,2,3,,19-9,1,up 2.5,Fried,Burnes,Jansen,2:57,N,37857,1.20,-,
29,Sunday May 8,boxscore,MIL,@,ATL,L,2,9,,19-10,1,up 2.5,Morton,Ashby,,2:52,D,36551,1.21,--,
30,Monday May 9,boxscore,MIL,@,CIN,L,5,10,,19-11,1,up 2.0,Cessa,Woodruff,,3:18,N,10046,1.18,---,
31,Tuesday May 10,boxscore,MIL,@,CIN,W,5,4,,20-11,1,up 3.0,Peralta,Greene,Hader,3:50,N,10445,1.20,+,
32,Wednesday May 11,boxscore,MIL,@,CIN,L,11,14,,20-12,1,up 2.0,Díaz,Houser,,3:26,D,11851,1.18,-,
33,Friday May 13,boxscore,MIL,@,MIA,W,2,1,,21-12,1,up 3.5,Williams,Scott,Hader,2:53,N,9110,1.21,+,
34,Saturday May 14,boxscore,MIL,@,MIA,L,3,9,,21-13,1,up 2.5,Rogers,Lauer,,3:30,N,12941,1.23,-,
35,Sunday May 15,boxscore,MIL,@,MIA,W,7,3,,22-13,1,up 2.5,Woodruff,Hernandez,Ashby,3:33,D,11729,1.24,+,
36,Monday May 16,boxscore,MIL,,ATL,W,1,0,,23-13,1,up 3.0,Peralta,Anderson,Hader,2:31,N,25880,1.23,++,
37,Tuesday May 17,boxscore,MIL,,ATL,L,0,3,,23-14,1,up 2.5,Davidson,Houser,Jansen,3:14,N,28910,1.26,-,
38,Wednesday May 18,boxscore,MIL,,ATL,W-wo,7,6,11,24-14,1,up 3.5,Kelley,Chavez,,4:03,D,27014,1.25,+,
39,Friday May 20,boxscore,MIL,,WSN,W,7,0,,25-14,1,up 4.0,Lauer,Fedde,,2:46,N,29609,1.24,++,
40,Saturday May 21,boxscore,MIL,,WSN,W,5,1,,26-14,1,up 4.0,Woodruff,Corbin,Hader,3:13,N,34837,1.18,+++,
41,Sunday May 22,boxscore,MIL,,WSN,L,2,8,,26-15,1,up 3.0,Sanchez,Peralta,,3:03,D,39822,1.18,-,
