Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Friday Apr 8,boxscore,MIN,,SEA,L,1,2,,0-1,3,1.0,Ray,Ryan,Steckenrider,2:53,D,35462,.94,-,
2,Saturday Apr 9,boxscore,MIN,,SEA,L,3,4,,0-2,4,2.0,Muñoz,Duffey,Castillo,3:09,D,20867,.85,--,
3,Sunday Apr 10,boxscore,MIN,,SEA,W,10,4,,1-2,3,1.0,Ober,Gonzales,,3:11,D,17018,.85,+,
4,Monday Apr 11,boxscore,MIN,,SEA,W,4,0,,2-2,2,0.5,Bundy,Flexen,,3:00,N,12932,.92,++,
5,Tuesday Apr 12,boxscore,MIN,,LAD,L,2,7,,2-3,3,1.5,Hudson,Pagán,,4:00,N,16732,.89,-,
6,Wednesday Apr 13,boxscore,MIN,,LAD,L,0,7,,2-4,4,2.5,Kershaw,Paddack,,2:34,D,17101,.86,--,
7,Friday Apr 15,boxscore,MIN,@,BOS,W,8,4,,3-4,4,2.0,Ryan,Pivetta,,3:33,D,36266,.86,+,
8,Saturday Apr 16,boxscore,MIN,@,BOS,L,0,4,,3-5,4,3.0,Houck,Gray,,2:45,D,34990,.90,-,
9,Sunday Apr 17,boxscore,MIN,@,BOS,L,1,8,,3-6,5,3.0,Strahm,Ober,,2:51,D,28858,.83,--,
10,Monday Apr 18,boxscore,MIN,@,BOS,W,8,3,,4-6,4,2.5,Bundy,Hill,,3:28,D,32514,.84,+,
11,Tuesday Apr 19,boxscore,MIN,@,KCR,L,3,4,,4-7,5,3.0,Garrett,Duffey,Staumont,3:06,N,10003,.91,-,
12,Wednesday Apr 20,boxscore,MIN,@,KCR,L,0,2,,4-8,5,2.5,Lynch,Paddack,Barlow,2:29,N,8969,.87,--,
13,Thursday Apr 21,boxscore,MIN,@,KCR,W,1,0,,5-8,5,2.5,Ryan,Greinke,Pagán,2:43,D,15540,.81,+,
14,Friday Apr 22,boxscore,MIN,,CHW,W,2,1,,6-8,3,1.5,Duffey,Graveman,Pagán,3:04,N,14257,.88,++,
15,Saturday Apr 23,boxscore,MIN,,CHW,W,9,2,,7-8,2,0.5,Bundy,Velasquez,,3:32,D,16686,.93,+++,
16,Sunday Apr 24,boxscore,MIN,,CHW,W-wo,6,4,10,8-8,1,up 0.5,Smith,Hendriks,,3:50,D,16197,1.01,++++,
17,Tuesday Apr 26,boxscore,MIN,,DET,W-wo,5,4,,9-8,1,up 2.0,Jax,Soto,,3:05,N,11803,1.07,+++++,
