Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Thursday Apr 7,boxscore,PIT,@,STL,L,0,9,,0-1,4,1.0,Wainwright,Brubaker,,3:08,D,46256,.99,-,
2,Saturday Apr 9,boxscore,PIT,@,STL,L,2,6,,0-2,4,2.0,Whitley,Keller,,3:32,D,45025,.96,--,
3,Sunday Apr 10,boxscore,PIT,@,STL,W,9,4,,1-2,4,1.0,Yajure,Matz,,3:08,D,40027,.91,+,
4,Tuesday Apr 12,boxscore,PIT,,CHC,L,1,2,,1-3,5,2.0,Smyly,Quintana,Robertson,2:51,D,34458,.94,-,
5,Wednesday Apr 13,boxscore,PIT,,CHC,W,6,2,,2-3,4,1.5,Peters,Hendricks,Crowe,2:49,D,9122,.88,+,
6,Thursday Apr 14,boxscore,PIT,,WSN,W,9,4,,3-3,4,1.0,Contreras,Adon,,3:37,N,9266,.89,++,
7,Friday Apr 15,boxscore,PIT,,WSN,L,2,7,,3-4,4,1.5,Fedde,Keller,,3:14,N,13076,.95,-,
8,Saturday Apr 16,boxscore,PIT,,WSN,W,6,4,,4-4,2,1.5,Peters,Rogers,,3:25,N,8676,.91,+,
9,Sunday Apr 17,boxscore,PIT,,WSN,W,5,3,,5-4,2,0.5,Hembree,Cishek,Bednar,3:20,D,8735,.95,++,
10,Monday Apr 18,boxscore,PIT,@,MIL,L,1,6,,5-5,4,1.0,Lauer,Thompson,,2:44,N,21512,1.05,-,
11,Tuesday Apr 19,boxscore,PIT,@,MIL,L,2,5,,5-6,4,2.0,Burnes,Brubaker,Hader,2:29,N,22747,.96,--,
12,Wednesday Apr 20,boxscore,PIT,@,MIL,L,2,4,,5-7,4,3.0,Woodruff,Keller,Hader,2:55,D,20790,.94,---,
13,Thursday Apr 21,boxscore,PIT,@,CHC,W,4,3,,6-7,3,2.0,Crowe,Roberts,Stratton,3:35,N,32341,.87,+,
14,Friday Apr 22,boxscore,PIT,@,CHC,W,4,2,,7-7,3,2.0,De Jong,Smyly,Stratton,3:08,N,25005,.95,++,
15,Saturday Apr 23,boxscore,PIT,@,CHC,L,0,21,,7-8,3,3.0,Hendricks,Thompson,,2:47,D,39917,1.00,-,
16,Sunday Apr 24,boxscore,PIT,@,CHC,W,4,3,,8-8,3,2.0,Peters,Steele,Bednar,3:37,D,28387,.96,+,
17,Tuesday Apr 26,boxscore,PIT,,MIL,L,8,12,,8-9,3,2.5,Suter,Fletcher,Hader,3:29,N,8493,1.02,-,
18,Wednesday Apr 27,boxscore,PIT,,MIL,L,1,3,,8-10,3,3.5,Gott,Crowe,Hader,3:01,N,8331,.99,--,
19,Thursday Apr 28,boxscore,PIT,,MIL,L,2,3,,8-11,3,4.5,Milner,Stratton,Williams,3:08,D,8332,.91,---,
20,Friday Apr 29,boxscore,PIT,,SDP,L,3,7,,8-12,3,5.5,Darvish,Thompson,Rogers,3:19,N,9755,.77,----,
21,Saturday Apr 30,boxscore,PIT,,SDP,W-wo,7,6,10,9-12,3,5.5,Stratton,García,,3:07,N,20483,.73,+,
22,Sunday May 1,boxscore,PIT,,SDP,L,2,5,,9-13,3,5.5,Musgrove,Keller,Rogers,3:02,D,8350,.80,-,
23,Wednesday May 4 (1),boxscore,PIT,@,DET,L,2,3,,9-14,3,6.5,Barnes,Wilson,Soto,2:41,D,,.68,--,
24,Wednesday May 4 (2),boxscore,PIT,@,DET,W,7,2,,10-14,3,6.5,Thompson,Hutchison,Bednar,3:07,D,15150,.65,+,
25,Saturday May 7 (1),boxscore,PIT,@,CIN,L,2,9,,10-15,3,7.0,Sims,Crowe,,3:09,D,9267,.66,-,
26,Saturday May 7 (2),boxscore,PIT,@,CIN,W,8,5,,11-15,3,7.0,Hembree,Moreta,Bednar,3:46,N,21448,.61,+,
27,Sunday May 8,boxscore,PIT,@,CIN,L,3,7,,11-16,3,7.0,Warren,Peters,,3:01,D,17623,.66,-,
28,Monday May 9,boxscore,PIT,,LAD,W,5,1,,12-16,3,6.0,Quintana,Urías,,2:41,N,8527,.69,+,
29,Tuesday May 10,boxscore,PIT,,LAD,L,1,11,,12-17,3,7.0,Gonsolin,Wilson,,3:02,N,11583,.69,-,
30,Wednesday May 11,boxscore,PIT,,LAD,W,5,3,,13-17,3,6.0,Crowe,Hudson,Bednar,3:20,D,11105,.64,+,
31,Thursday May 12,boxscore,PIT,,CIN,L,0,4,,13-18,3,6.5,Overton,Brubaker,,2:52,N,9470,.68,-,
32,Friday May 13,boxscore,PIT,,CIN,L,2,8,,13-19,3,7.5,Mahle,Keller,,3:02,N,12588,.63,--,
33,Saturday May 14,boxscore,PIT,,CIN,W,3,1,,14-19,3,6.5,Thompson,Castillo,Bednar,2:54,N,12959,.58,+,
34,Sunday May 15,boxscore,PIT,,CIN,W,1,0,,15-19,3,6.5,Stratton,Greene,Bednar,2:34,D,10559,.65,++,
35,Monday May 16,boxscore,PIT,@,CHC,L,0,9,,15-20,3,7.5,Miley,Peters,,2:29,N,31119,.68,-,
36,Tuesday May 17,boxscore,PIT,@,CHC,L,0,7,,15-21,4,7.5,Thompson,Brubaker,,2:38,N,30478,.65,--,
37,Wednesday May 18,boxscore,PIT,@,CHC,W,3,2,,16-21,3,7.5,Keller,Smyly,Bednar,3:02,N,31631,.62,+,
38,Friday May 20,boxscore,PIT,,STL,L,3,5,,16-22,3,8.5,Wainwright,Thompson,Gallegos,3:38,N,14034,.67,-,
39,Saturday May 21,boxscore,PIT,,STL,L,4,5,,16-23,3,9.5,VerHagen,Quintana,Helsley,3:19,N,24644,.62,--,
40,Sunday May 22,boxscore,PIT,,STL,L,4,18,,16-24,3,9.5,Rondón,Wilson,,3:19,D,13510,.54,---,
41,Monday May 23,boxscore,PIT,,COL,W,2,1,,17-24,3,8.5,Bednar,Kinley,,3:05,N,8376,.45,+,
42,Tuesday May 24,boxscore,PIT,,COL,L,1,2,10,17-25,4,9.5,Bard,Bednar,,3:21,N,9009,.45,-,
43,Wednesday May 25,boxscore,PIT,,COL,W,10,5,,18-25,3,9.5,Peters,Lawrence,,3:20,D,10014,.44,+,
44,Friday May 27,boxscore,PIT,@,SDP,L,3,4,,18-26,3,10.0,Crismatt,Underwood,Rogers,2:56,N,41898,.51,-,
45,Saturday May 28,boxscore,PIT,@,SDP,W,4,2,,19-26,3,9.0,Banda,Rogers,Bednar,3:43,N,38189,.45,+,
46,Sunday May 29,boxscore,PIT,@,SDP,L-wo,2,4,10,19-27,3,10.0,García,Stratton,,2:50,D,44395,.51,-,
47,Monday May 30,boxscore,PIT,@,LAD,W,6,5,,20-27,3,10.5,Bednar,Kimbrel,,3:18,N,46724,.44,+,
48,Tuesday May 31,boxscore,PIT,@,LAD,W,5,3,,21-27,3,9.5,Keller,Urías,Crowe,3:09,N,52686,.45,++,
49,Wednesday Jun 1,boxscore,PIT,@,LAD,W,8,4,,22-27,3,8.5,De Jong,White,,3:28,N,39324,.52,+++,
50,Friday Jun 3,boxscore,PIT,,ARI,L,6,8,,22-28,3,9.0,Kelly,Brubaker,Melancon,3:15,N,16444,.58,-,
51,Saturday Jun 4,boxscore,PIT,,ARI,W-wo,2,1,,23-28,3,8.0,Stratton,Melancon,,2:46,D,19149,.53,+,
52,Sunday Jun 5,boxscore,PIT,,ARI,W,3,0,,24-28,3,7.0,Thompson,Gallen,Bednar,2:56,D,11796,.58,++,
53,Tuesday Jun 7,boxscore,PIT,,DET,L,3,5,,24-29,3,7.0,Skubal,Quintana,Soto,2:50,N,10214,.58,-,
54,Wednesday Jun 8,boxscore,PIT,,DET,L,1,3,,24-30,3,7.0,Vest,Crowe,Soto,2:57,D,11723,.53,--,
55,Thursday Jun 9,boxscore,PIT,@,ATL,L,1,3,,24-31,3,7.0,Fried,Brubaker,Jansen,2:26,N,39336,.55,---,
56,Friday Jun 10,boxscore,PIT,@,ATL,L,2,4,,24-32,3,7.5,Strider,Contreras,Jansen,3:04,N,41404,.50,----,
57,Saturday Jun 11,boxscore,PIT,@,ATL,L,4,10,,24-33,3,8.5,Chavez,Underwood,,2:42,D,41219,.43,-----,
58,Sunday Jun 12,boxscore,PIT,@,ATL,L,3,5,,24-34,3,8.5,Wright,Quintana,Jansen,2:48,D,35446,.39,------,
59,Monday Jun 13,boxscore,PIT,@,STL,L,5,7,,24-35,3,9.5,Gallegos,Stratton,Helsley,3:07,N,37398,.36,-------,
60,Tuesday Jun 14 (1),boxscore,PIT,@,STL,L,1,3,,24-36,3,11.5,Liberatore,Brubaker,Gallegos,2:56,D,31193,.31,--------,
61,Tuesday Jun 14 (2),boxscore,PIT,@,STL,L,1,9,,24-37,3,11.5,Mikolas,Wilson,,2:48,N,33977,.28,---------,
62,Wednesday Jun 15,boxscore,PIT,@,STL,W,6,4,,25-37,3,10.5,Crowe,Pallante,Bednar,3:14,N,38658,.22,+,
63,Friday Jun 17,boxscore,PIT,,SFG,L,0,2,,25-38,3,10.5,Rodón,Thompson,Doval,2:46,N,19075,.22,-,
64,Saturday Jun 18,boxscore,PIT,,SFG,L,5,7,,25-39,3,11.5,Wood,Crowe,Doval,3:53,D,26041,.17,--,
65,Sunday Jun 19,boxscore,PIT,,SFG,W-wo,4,3,,26-39,3,10.5,Bednar,Rogers,,2:38,D,23905,.13,+,
66,Monday Jun 20,boxscore,PIT,,CHC,W,12,1,,27-39,3,10.5,Brubaker,Kilian,,3:17,N,11312,.14,++,
67,Tuesday Jun 21,boxscore,PIT,,CHC,W,7,1,,28-39,3,9.5,Contreras,Swarmer,,2:44,N,11254,.17,+++,
68,Wednesday Jun 22,boxscore,PIT,,CHC,L,5,14,,28-40,3,10.5,Thompson,Eickhoff,,3:07,N,14083,.19,-,
