Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Friday Apr 8,boxscore,SEA,@,MIN,W,2,1,,1-0,2,0.5,Ray,Ryan,Steckenrider,2:53,D,35462,.95,+,
2,Saturday Apr 9,boxscore,SEA,@,MIN,W,4,3,,2-0,1,up 0.5,Muñoz,Duffey,Castillo,3:09,D,20867,.96,++,
3,Sunday Apr 10,boxscore,SEA,@,MIN,L,4,10,,2-1,2,0.5,Ober,Gonzales,,3:11,D,17018,1.04,-,
4,Monday Apr 11,boxscore,SEA,@,MIN,L,0,4,,2-2,2,1.0,Bundy,Flexen,,3:00,N,12932,.98,--,
5,Tuesday Apr 12,boxscore,SEA,@,CHW,L,2,3,,2-3,3,2.0,López,Brash,Hendriks,3:22,D,36948,.97,---,
6,Wednesday Apr 13,boxscore,SEA,@,CHW,L,4,6,,2-4,4,2.0,Keuchel,Ray,Hendriks,2:54,N,12291,.93,----,
7,Thursday Apr 14,boxscore,SEA,@,CHW,W,5,1,,3-4,3,1.5,Gilbert,Lambert,,3:01,D,13391,.90,+,
8,Friday Apr 15,boxscore,SEA,,HOU,W,11,1,,4-4,2,0.5,Gonzales,Odorizzi,,3:04,N,45023,1.01,++,
9,Saturday Apr 16,boxscore,SEA,,HOU,L,0,4,,4-5,4,1.5,Verlander,Flexen,,2:36,N,38504,1.05,-,
10,Sunday Apr 17,boxscore,SEA,,HOU,W,7,2,,5-5,3,1.0,Brash,Urquidy,,2:56,D,26583,.99,+,
11,Tuesday Apr 19,boxscore,SEA,,TEX,W,6,2,,6-5,3,0.5,Ray,Gray,,2:37,N,11067,1.02,++,
12,Wednesday Apr 20,boxscore,SEA,,TEX,W,4,2,,7-5,2,0.5,Gilbert,Dunning,,2:56,N,9374,1.00,+++,
13,Thursday Apr 21,boxscore,SEA,,TEX,L,6,8,,7-6,3,1.0,Barlow,Steckenrider,,3:47,N,12570,1.08,-,
14,Friday Apr 22,boxscore,SEA,,KCR,W,4,1,,8-6,1,Tied,Flexen,Keller,Muñoz,2:42,N,24206,1.02,+,
15,Saturday Apr 23,boxscore,SEA,,KCR,W,13,7,,9-6,1,up 1.0,Castillo,Brentz,,4:06,N,28583,1.09,++,
16,Sunday Apr 24,boxscore,SEA,,KCR,W-wo,5,4,12,10-6,1,up 1.0,Ramirez,Payamps,,4:12,D,28548,1.13,+++,
17,Tuesday Apr 26,boxscore,SEA,@,TBR,W,8,4,,11-6,1,up 0.5,Gilbert,Fleming,,3:15,N,9257,1.12,++++,
18,Wednesday Apr 27,boxscore,SEA,@,TBR,L,2,3,,11-7,2,0.5,Rasmussen,Gonzales,Kittredge,2:41,N,7290,1.16,-,
19,Thursday Apr 28,boxscore,SEA,@,TBR,L,1,2,,11-8,2,1.5,Feyereisen,Flexen,Thompson,3:04,D,6749,1.13,--,
20,Friday Apr 29,boxscore,SEA,@,MIA,L,6,8,,11-9,2,2.5,Hernandez,Brash,Bender,3:06,N,9963,1.06,---,
21,Saturday Apr 30,boxscore,SEA,@,MIA,L,1,3,,11-10,2,2.5,Luzardo,Ray,Bender,2:46,N,29010,1.03,----,
22,Sunday May 1,boxscore,SEA,@,MIA,W,7,3,,12-10,2,2.5,Gilbert,Alcantara,,3:22,D,16741,1.00,+,
23,Monday May 2,boxscore,SEA,@,HOU,L,0,3,,12-11,2,2.5,Odorizzi,Gonzales,Montero,2:48,N,27321,1.14,-,
24,Tuesday May 3,boxscore,SEA,@,HOU,L,0,4,,12-12,3,2.5,Javier,Flexen,,3:12,N,23796,1.11,--,
25,Wednesday May 4,boxscore,SEA,@,HOU,L,2,7,,12-13,3,3.5,Verlander,Brash,,3:01,D,24110,1.07,---,
26,Thursday May 5,boxscore,SEA,,TBR,L,3,4,,12-14,3,4.5,McClanahan,Ray,Raley,2:50,N,17027,.97,----,
27,Friday May 6,boxscore,SEA,,TBR,L,7,8,,12-15,3,5.5,Raley,Sewald,,3:54,N,26154,.88,-----,
28,Saturday May 7,boxscore,SEA,,TBR,L,2,8,,12-16,3,5.5,Rasmussen,Gonzales,,3:01,N,31589,.82,------,
29,Sunday May 8,boxscore,SEA,,TBR,W-wo,2,1,10,13-16,3,5.5,Sewald,Wisler,,3:04,D,32501,.76,+,
30,Monday May 9,boxscore,SEA,,PHI,L,0,9,,13-17,3,6.5,Suárez,Flexen,,3:01,N,15881,.74,-,
31,Tuesday May 10,boxscore,SEA,,PHI,W,5,4,,14-17,3,6.5,Ray,Nola,Sewald,3:36,N,16422,.69,+,
32,Wednesday May 11,boxscore,SEA,,PHI,L,2,4,,14-18,3,6.5,Domínguez,Gilbert,Knebel,3:11,D,16387,.71,-,
33,Friday May 13,boxscore,SEA,@,NYM,W,2,1,,15-18,3,7.0,Sewald,Smith,Steckenrider,2:56,N,36629,.68,+,
34,Saturday May 14,boxscore,SEA,@,NYM,L,4,5,,15-19,3,7.0,Ottavino,Muñoz,Díaz,3:30,N,37140,.70,-,
35,Sunday May 15,boxscore,SEA,@,NYM,W,8,7,,16-19,3,7.0,Ray,Shreve,Castillo,3:22,D,38476,.69,+,
36,Monday May 16,boxscore,SEA,@,TOR,L,2,6,,16-20,3,7.0,Kikuchi,Flexen,Cimber,3:23,N,28207,.78,-,
37,Tuesday May 17,boxscore,SEA,@,TOR,L,0,3,,16-21,4,8.0,Berríos,Gilbert,Cimber,2:20,N,22988,.73,--,
38,Wednesday May 18,boxscore,SEA,@,TOR,W,5,1,,17-21,4,7.0,Gonzales,Gausman,,2:47,N,20472,.71,+,
39,Thursday May 19,boxscore,SEA,@,BOS,L,6,12,,17-22,4,8.0,Houck,Kirby,,3:38,N,29783,.73,-,
40,Friday May 20,boxscore,SEA,@,BOS,L,3,7,,17-23,4,8.0,Davis,Ray,,2:54,N,30842,.65,--,
41,Saturday May 21,boxscore,SEA,@,BOS,L,5,6,,17-24,4,9.0,Schreiber,Steckenrider,Barnes,2:59,D,34832,.64,---,
42,Sunday May 22,boxscore,SEA,@,BOS,L-wo,4,8,10,17-25,4,10.0,Diekman,Muñoz,,3:18,D,33896,.55,----,
43,Monday May 23,boxscore,SEA,,OAK,W,7,6,,18-25,4,9.0,Gonzales,Logue,Sewald,3:24,N,14415,.48,+,
44,Tuesday May 24,boxscore,SEA,,OAK,L,5,7,,18-26,4,10.0,Moll,Misiewicz,Jiménez,3:25,N,14797,.55,-,
45,Wednesday May 25,boxscore,SEA,,OAK,L,2,4,,18-27,5,11.0,Blackburn,Ray,Jiménez,3:10,D,15856,.48,--,
46,Friday May 27,boxscore,SEA,,HOU,W,6,1,,19-27,4,10.0,Flexen,Verlander,,2:45,N,26017,.48,+,
47,Saturday May 28,boxscore,SEA,,HOU,W,6,0,,20-27,4,9.0,Gilbert,Urquidy,,3:01,N,24007,.52,++,
48,Sunday May 29,boxscore,SEA,,HOU,L,1,2,,20-28,4,10.0,Montero,Gonzales,Pressly,3:00,D,28986,.59,-,
49,Tuesday May 31,boxscore,SEA,@,BAL,W,10,0,,21-28,4,10.5,Kirby,Baker,,2:51,N,8074,.48,+,
50,Wednesday Jun 1,boxscore,SEA,@,BAL,L,2,9,,21-29,4,11.5,Pérez,Ray,,3:07,N,8400,.53,-,
51,Thursday Jun 2,boxscore,SEA,@,BAL,W,7,6,10,22-29,4,11.0,Castillo,López,,4:00,N,8817,.47,+,
52,Friday Jun 3,boxscore,SEA,@,TEX,W,4,3,,23-29,4,11.0,Murfee,Barlow,Sewald,2:51,N,25378,.59,++,
53,Saturday Jun 4,boxscore,SEA,@,TEX,L,2,3,,23-30,4,11.0,Otto,Gonzales,Barlow,2:30,D,28794,.62,-,
54,Sunday Jun 5,boxscore,SEA,@,TEX,W,6,5,10,24-30,4,11.0,Castillo,Burke,Sewald,3:39,D,27427,.55,+,
55,Monday Jun 6,boxscore,SEA,@,HOU,W,7,4,,25-30,4,10.0,Ray,Javier,Castillo,3:46,N,27521,.66,++,
56,Tuesday Jun 7,boxscore,SEA,@,HOU,L,1,4,,25-31,4,11.0,Verlander,Flexen,Pressly,3:19,N,30583,.75,-,
57,Wednesday Jun 8,boxscore,SEA,@,HOU,W,6,3,,26-31,4,10.0,Gilbert,Urquidy,Castillo,3:09,N,23752,.65,+,
58,Friday Jun 10,boxscore,SEA,,BOS,L,3,4,,26-32,4,10.0,Diekman,Muñoz,Houck,3:48,N,27314,.70,-,
59,Saturday Jun 11,boxscore,SEA,,BOS,W-wo,7,6,,27-32,4,9.0,Sewald,Robles,,3:37,N,37691,.65,+,
60,Sunday Jun 12,boxscore,SEA,,BOS,L,0,2,,27-33,4,10.0,Danish,Sewald,Houck,2:52,D,42900,.67,-,
61,Monday Jun 13,boxscore,SEA,,MIN,L,2,3,,27-34,4,10.0,Thielbar,Flexen,Pagán,3:10,N,12749,.61,--,
62,Tuesday Jun 14,boxscore,SEA,,MIN,W,5,0,,28-34,4,10.0,Gilbert,Ryan,,2:36,N,13019,.55,+,
63,Wednesday Jun 15,boxscore,SEA,,MIN,L,0,5,,28-35,4,11.0,Jax,Gonzales,,3:00,D,15329,.60,-,
64,Thursday Jun 16,boxscore,SEA,,LAA,L,1,4,,28-36,4,11.5,Ohtani,Kirby,Iglesias,2:53,N,21485,.48,--,
65,Friday Jun 17,boxscore,SEA,,LAA,W,8,1,,29-36,4,11.5,Ray,Lorenzen,,2:37,N,37500,.41,+,
66,Saturday Jun 18 (1),boxscore,SEA,,LAA,L,2,4,10,29-37,4,12.0,Iglesias,Castillo,Quijada,3:24,D,24071,.47,-,
67,Saturday Jun 18 (2),boxscore,SEA,,LAA,L,0,3,,29-38,4,12.0,Herget,Milone,Bradley,2:57,N,20804,.47,--,
68,Sunday Jun 19,boxscore,SEA,,LAA,L,0,4,,29-39,4,13.0,Wantz,Gilbert,,2:44,D,39052,.37,---,
69,Tuesday Jun 21,boxscore,SEA,@,OAK,W,8,2,,30-39,4,13.0,Gonzales,Kaprielian,,3:03,N,4733,.28,+,
70,Wednesday Jun 22,boxscore,SEA,@,OAK,W,9,0,,31-39,4,13.0,Kirby,Blackburn,,3:13,N,5414,.34,++,
71,Thursday Jun 23,boxscore,SEA,@,OAK,W,2,1,,32-39,4,12.0,Castillo,Jackson,Sewald,2:54,D,8215,.36,+++,
72,Friday Jun 24,boxscore,SEA,@,LAA,W,4,3,,33-39,4,12.0,Flexen,Lorenzen,Sewald,3:41,N,35704,.43,++++,
73,Saturday Jun 25,boxscore,SEA,@,LAA,W,5,3,,34-39,3,12.0,Gilbert,Bradley,Swanson,3:22,N,35466,.53,+++++,
74,Sunday Jun 26,boxscore,SEA,@,LAA,L,1,2,,34-40,4,12.0,Suarez,Gonzales,Ortega,3:04,D,26489,.53,-,
75,Monday Jun 27,boxscore,SEA,,BAL,L,2,9,,34-41,4,12.5,Wells,Kirby,Akin,2:39,N,21615,.49,--,
76,Tuesday Jun 28,boxscore,SEA,,BAL,W,2,0,,35-41,4,12.5,Castillo,Pérez,Sewald,2:39,N,16024,.42,+,
77,Wednesday Jun 29,boxscore,SEA,,BAL,W,9,3,,36-41,4,12.5,Flexen,Voth,,3:05,D,17412,.43,++,
78,Thursday Jun 30,boxscore,SEA,,OAK,W,8,6,,37-41,3,12.5,Gilbert,Martinez,Sewald,2:53,N,20860,.48,+++,
79,Friday Jul 1,boxscore,SEA,,OAK,L,1,3,,37-42,3,13.5,Kaprielian,Gonzales,Trivino,3:00,N,27589,.54,-,
80,Saturday Jul 2,boxscore,SEA,,OAK,W-wo,2,1,,38-42,3,13.5,Castillo,Trivino,,2:50,D,23907,.47,+,
81,Sunday Jul 3,boxscore,SEA,,OAK,W,2,1,,39-42,2,13.5,Ray,Montas,Sewald,2:28,D,23333,.49,++,
82,Monday Jul 4,boxscore,SEA,@,SDP,W,8,2,,40-42,2,13.5,Flexen,Manaea,,3:21,D,37913,.55,+++,
83,Tuesday Jul 5,boxscore,SEA,@,SDP,W,6,2,,41-42,2,13.5,Gilbert,Clevinger,,3:16,D,29745,.60,++++,
84,Thursday Jul 7,boxscore,SEA,,TOR,W,8,3,,42-42,2,13.0,Gonzales,Banda,,2:41,N,24998,.80,+++++,
85,Friday Jul 8,boxscore,SEA,,TOR,W-wo,5,2,11,43-42,2,13.0,Borucki,Romo,,4:08,N,32398,.87,++++++,
86,Saturday Jul 9,boxscore,SEA,,TOR,W,2,1,,44-42,2,12.0,Brash,Manoah,Castillo,2:42,N,41210,.94,+++++++,
87,Sunday Jul 10,boxscore,SEA,,TOR,W,6,5,,45-42,2,12.0,Festa,Cimber,Sewald,2:45,D,37694,1.01,++++++++,
88,Wednesday Jul 13 (1),boxscore,SEA,@,WSN,W,6,4,,46-42,2,11.0,Flexen,Gray,Sewald,2:53,D,16260,.90,+++++++++,
89,Wednesday Jul 13 (2),boxscore,SEA,@,WSN,W,2,1,,47-42,2,11.0,Milone,Fedde,Sewald,2:58,N,19869,.97,++++++++++,
90,Thursday Jul 14,boxscore,SEA,@,TEX,W,6,5,,48-42,2,11.0,Festa,Santana,Castillo,3:20,N,19243,1.08,+++++++++++,
91,Friday Jul 15,boxscore,SEA,@,TEX,W,8,3,,49-42,2,10.0,Ray,Hearn,,3:09,N,26494,1.05,++++++++++++,
92,Saturday Jul 16,boxscore,SEA,@,TEX,W,3,2,10,50-42,2,10.0,Castillo,Martin,Festa,3:22,D,35761,1.12,+++++++++++++,
93,Sunday Jul 17,boxscore,SEA,@,TEX,W,6,2,,51-42,2,9.0,Borucki,Otto,,3:22,D,26378,1.05,++++++++++++++,
