Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Friday Apr 8,boxscore,TBR,,BAL,W,2,1,,1-0,1,Tied,Kittredge,Tate,Raley,3:14,D,25025,.92,+,
2,Saturday Apr 9,boxscore,TBR,,BAL,W,5,3,,2-0,1,Tied,Fleming,Lyles,Kittredge,2:33,D,15615,1.04,++,
3,Sunday Apr 10,boxscore,TBR,,BAL,W,8,0,,3-0,1,up 1.0,Springs,Wells,,3:10,D,14100,1.01,+++,
4,Monday Apr 11,boxscore,TBR,,OAK,L,2,13,,3-1,1,Tied,Blackburn,Patiño,,3:00,N,9139,1.09,-,
5,Tuesday Apr 12,boxscore,TBR,,OAK,W-wo,9,8,10,4-1,1,up 1.0,Thompson,Trivino,,4:12,N,7588,.99,+,
6,Wednesday Apr 13,boxscore,TBR,,OAK,L,2,4,,4-2,1,Tied,Montas,McClanahan,Trivino,3:02,N,8954,1.06,-,
7,Thursday Apr 14,boxscore,TBR,,OAK,L,3,6,,4-3,1,Tied,Irvin,Fleming,Jiménez,2:33,D,8287,1.01,--,
8,Friday Apr 15,boxscore,TBR,@,CHW,L,2,3,,4-4,2,1.0,Cease,Rasmussen,Hendriks,2:51,N,19009,.99,---,
9,Saturday Apr 16,boxscore,TBR,@,CHW,L,2,3,,4-5,4,1.0,López,Thompson,Hendriks,2:50,D,27113,.98,----,
10,Sunday Apr 17,boxscore,TBR,@,CHW,W,9,3,,5-5,3,1.0,Mazza,Velasquez,,3:35,D,17798,.92,+,
11,Monday Apr 18,boxscore,TBR,@,CHC,L,2,4,,5-6,4,1.5,Thompson,Adam,Robertson,2:43,N,26615,.93,-,
12,Tuesday Apr 19,boxscore,TBR,@,CHC,W,6,5,,6-6,4,0.5,Fleming,Steele,Kittredge,3:09,N,26568,.87,+,
13,Wednesday Apr 20,boxscore,TBR,@,CHC,W,8,2,6,7-6,3,0.5,Beeks,Stroman,,2:07,N,26167,.93,++,
14,Friday Apr 22,boxscore,TBR,,BOS,L,3,4,,7-7,3,2.0,Wacha,Kluber,Barnes,3:21,N,16902,1.09,-,
15,Saturday Apr 23,boxscore,TBR,,BOS,W-wo,3,2,10,8-7,3,2.0,Wisler,Robles,,3:05,N,19137,1.06,+,
16,Sunday Apr 24,boxscore,TBR,,BOS,W,5,2,,9-7,3,1.0,McClanahan,Valdez,Thompson,2:38,D,20993,1.03,++,
17,Tuesday Apr 26,boxscore,TBR,,SEA,L,4,8,,9-8,3,2.5,Gilbert,Fleming,,3:15,N,9257,1.03,-,
18,Wednesday Apr 27,boxscore,TBR,,SEA,W,3,2,,10-8,3,2.0,Rasmussen,Gonzales,Kittredge,2:41,N,7290,.99,+,
19,Thursday Apr 28,boxscore,TBR,,SEA,W,2,1,,11-8,3,2.0,Feyereisen,Flexen,Thompson,3:04,D,6749,1.04,++,
20,Friday Apr 29,boxscore,TBR,,MIN,W,6,1,,12-8,3,2.0,Kluber,Bundy,,2:16,N,9928,1.07,+++,
21,Saturday Apr 30,boxscore,TBR,,MIN,L,1,9,,12-9,3,3.0,Stashak,McClanahan,,3:05,D,18846,1.09,-,
22,Sunday May 1,boxscore,TBR,,MIN,L,3,9,,12-10,3,4.0,Winder,Fleming,,2:53,D,14830,1.07,--,
23,Monday May 2,boxscore,TBR,@,OAK,W,6,1,,13-10,3,4.0,Rasmussen,Jefferies,,2:37,N,2488,1.00,+,
24,Tuesday May 3,boxscore,TBR,@,OAK,W,10,7,10,14-10,3,4.0,Kittredge,Trivino,,3:21,N,2815,1.06,++,
25,Wednesday May 4,boxscore,TBR,@,OAK,W,3,0,,15-10,3,3.0,Feyereisen,Jackson,Kittredge,2:39,D,4838,1.07,+++,
26,Thursday May 5,boxscore,TBR,@,SEA,W,4,3,,16-10,2,2.5,McClanahan,Ray,Raley,2:50,N,17027,1.13,++++,
27,Friday May 6,boxscore,TBR,@,SEA,W,8,7,,17-10,2,2.0,Raley,Sewald,,3:54,N,26154,1.12,+++++,
28,Saturday May 7,boxscore,TBR,@,SEA,W,8,2,,18-10,2,1.5,Rasmussen,Gonzales,,3:01,N,31589,1.18,++++++,
29,Sunday May 8,boxscore,TBR,@,SEA,L-wo,1,2,10,18-11,2,2.0,Sewald,Wisler,,3:04,D,32501,1.13,-,
30,Monday May 9,boxscore,TBR,@,LAA,L,3,11,,18-12,2,3.0,Syndergaard,Springs,,3:02,N,19537,1.19,--,
31,Tuesday May 10,boxscore,TBR,@,LAA,L,0,12,,18-13,2,4.0,Detmers,Kluber,,2:19,N,39313,1.19,---,
32,Wednesday May 11,boxscore,TBR,@,LAA,W,4,2,10,19-13,2,4.0,Feyereisen,Loup,Raley,3:17,D,21045,1.11,+,
33,Friday May 13,boxscore,TBR,,TOR,W,5,2,,20-13,2,4.5,Kittredge,Gausman,Adam,2:49,N,10169,1.21,++,
34,Saturday May 14,boxscore,TBR,,TOR,L,1,5,,20-14,2,4.5,Mayza,Thompson,,3:03,N,15195,1.20,-,
35,Sunday May 15,boxscore,TBR,,TOR,W,3,0,,21-14,2,4.5,Wisler,Manoah,Kittredge,2:47,D,20986,1.22,+,
36,Monday May 16,boxscore,TBR,,DET,L,2,3,,21-15,2,5.5,Fulmer,Kittredge,Soto,2:43,N,11532,1.11,-,
37,Tuesday May 17,boxscore,TBR,,DET,W,8,1,,22-15,2,5.5,McClanahan,Brieske,,2:38,N,8475,1.07,+,
38,Wednesday May 18,boxscore,TBR,,DET,W,6,1,,23-15,2,5.5,Rasmussen,Rodriguez,,2:55,D,9706,1.05,++,
39,Friday May 20,boxscore,TBR,@,BAL,L-wo,6,8,13,23-16,2,5.5,Vespi,Garza,,4:22,N,15127,1.10,-,
40,Saturday May 21,boxscore,TBR,@,BAL,W,6,1,,24-16,2,5.5,Springs,Bradish,,2:53,N,17573,1.10,+,
41,Sunday May 22,boxscore,TBR,@,BAL,L-wo,6,7,11,24-17,2,5.0,Pérez,Knight,,4:31,D,23778,1.08,-,
42,Tuesday May 24,boxscore,TBR,,MIA,W,4,0,,25-17,2,4.5,McClanahan,López,,2:26,N,9006,1.07,+,
43,Wednesday May 25,boxscore,TBR,,MIA,W,5,4,,26-17,2,4.5,Rasmussen,Poteet,Poche,3:05,N,7520,1.07,++,
44,Thursday May 26,boxscore,TBR,,NYY,L,2,7,,26-18,2,5.5,Cortes,Yarbrough,,2:49,N,14610,1.31,-,
45,Friday May 27,boxscore,TBR,,NYY,L,0,2,,26-19,2,6.5,Taillon,Springs,Holmes,2:23,N,19018,1.28,--,
46,Saturday May 28,boxscore,TBR,,NYY,W,3,1,,27-19,2,5.5,Feyereisen,Luetge,Poche,2:47,D,25025,1.19,+,
47,Sunday May 29,boxscore,TBR,,NYY,W,4,2,,28-19,2,4.5,McClanahan,Severino,Feyereisen,2:35,D,25025,1.27,++,
48,Monday May 30,boxscore,TBR,@,TEX,L,5,9,,28-20,2,5.0,Otto,Rasmussen,,3:21,N,25605,1.14,-,
49,Tuesday May 31,boxscore,TBR,@,TEX,L,0,3,,28-21,3,6.0,Pérez,Yarbrough,Barlow,2:21,N,16317,1.16,--,
50,Wednesday Jun 1,boxscore,TBR,@,TEX,W,4,3,11,29-21,3,5.5,Poche,Santana,Wisler,4:01,N,20634,1.06,+,
51,Thursday Jun 2,boxscore,TBR,@,TEX,W,3,1,,30-21,3,6.0,Kluber,Hearn,Thompson,3:04,D,17097,1.09,++,
52,Friday Jun 3,boxscore,TBR,,CHW,W,6,3,,31-21,2,6.0,McClanahan,Martin,Poche,3:09,N,8930,1.08,+++,
53,Saturday Jun 4,boxscore,TBR,,CHW,L,2,3,,31-22,3,7.0,Crick,Beeks,Hendriks,3:03,D,19452,1.05,-,
54,Sunday Jun 5,boxscore,TBR,,CHW,L,5,6,,31-23,3,8.0,Giolito,Yarbrough,Hendriks,3:18,D,11162,1.07,--,
55,Tuesday Jun 7,boxscore,TBR,,STL,W-wo,4,2,10,32-23,3,8.0,Poche,VerHagen,,3:13,N,10905,.94,+,
56,Wednesday Jun 8,boxscore,TBR,,STL,W,11,3,,33-23,2,7.0,Kluber,Naughton,,3:11,N,12906,.94,++,
57,Thursday Jun 9,boxscore,TBR,,STL,W,2,1,,34-23,2,7.0,McClanahan,Mikolas,Adam,1:54,D,14892,1.00,+++,
58,Friday Jun 10,boxscore,TBR,@,MIN,L,4,9,,34-24,3,8.0,Smeltzer,Rasmussen,,2:58,N,23761,1.02,-,
59,Saturday Jun 11,boxscore,TBR,@,MIN,L,5,6,,34-25,3,9.0,Megill,Baz,Pagán,3:30,D,22741,1.00,--,
